name,pos_1_names,pos_1_level,pos_1_troop_amount,pos_2_names,pos_2_level,pos_2_troop_amount,pos_3_names,pos_3_level,pos_3_troop_amount,pos_4_names,pos_4_level,pos_4_troop_amount,pos_5_names,pos_5_level,pos_5_troop_amount,pos_6_names,pos_6_level,pos_6_troop_amount
group1,"hero_109,hero_211",1,0.65,,,,,,,,,,,,,,,
group2,"hero_109,hero_211,hero_110,hero_105",6,0.7,"hero_008,hero_108",6,0.7,,,,,,,,,,,,
group2,"hero_008,hero_108",6,0.7,"hero_109,hero_211,hero_110,hero_105",6,0.7,,,,,,,,,,,,
group2,"hero_109,hero_211,hero_110,hero_105",6,0.7,"hero_008,hero_108",6,0.7,,,,,,,,,,,,
group3,"hero_405,hero_009,hero_202",11,0.9,"hero_109,hero_211,hero_110,hero_105",11,0.9,"hero_008,hero_108",11,0.9,,,,,,,,,
group3,"hero_405,hero_009,hero_202",11,0.9,"hero_008,hero_108",11,0.9,"hero_109,hero_211,hero_110,hero_105",11,0.9,,,,,,,,,
group3,"hero_109,hero_211,hero_110,hero_105",11,0.9,"hero_405,hero_009,hero_202",11,0.9,"hero_008,hero_108",11,0.9,,,,,,,,,
group3,"hero_008,hero_108",11,0.9,"hero_405,hero_009,hero_202",11,0.9,"hero_109,hero_211,hero_110,hero_105",11,0.9,,,,,,,,,
group3,"hero_109,hero_211,hero_110,hero_105",11,0.9,"hero_008,hero_108",11,0.9,"hero_405,hero_009,hero_202",11,0.9,,,,,,,,,
group3,"hero_008,hero_108",11,0.9,"hero_109,hero_211,hero_110,hero_105",11,0.9,"hero_405,hero_009,hero_202",11,0.9,,,,,,,,,
group3,,,,,,,"hero_405,hero_009,hero_202",11,0.9,"hero_109,hero_211,hero_110,hero_105",11,0.9,"hero_008,hero_108",11,0.9,,,
group3,,,,,,,"hero_405,hero_009,hero_202",11,0.9,"hero_008,hero_108",11,0.9,"hero_109,hero_211,hero_110,hero_105",11,0.9,,,
group3,,,,,,,"hero_109,hero_211,hero_110,hero_105",11,0.9,"hero_405,hero_009,hero_202",11,0.9,"hero_008,hero_108",11,0.9,,,
group3,,,,,,,"hero_008,hero_108",11,0.9,"hero_405,hero_009,hero_202",11,0.9,"hero_109,hero_211,hero_110,hero_105",11,0.9,,,
group3,,,,,,,"hero_109,hero_211,hero_110,hero_105",11,0.9,"hero_008,hero_108",11,0.9,"hero_405,hero_009,hero_202",11,0.9,,,
group3,,,,,,,"hero_008,hero_108",11,0.9,"hero_109,hero_211,hero_110,hero_105",11,0.9,"hero_405,hero_009,hero_202",11,0.9,,,
group3,"hero_405,hero_009,hero_202",11,0.9,"hero_109,hero_211,hero_110,hero_105",11,0.9,,,,,,,"hero_008,hero_108",11,0.9,,,
group3,"hero_405,hero_009,hero_202",11,0.9,"hero_008,hero_108",11,0.9,,,,,,,"hero_109,hero_211,hero_110,hero_105",11,0.9,,,
group3,"hero_109,hero_211,hero_110,hero_105",11,0.9,"hero_405,hero_009,hero_202",11,0.9,,,,,,,"hero_008,hero_108",11,0.9,,,
