name,pos_1_names,pos_1_level,pos_1_troop_amount,pos_2_names,pos_2_level,pos_2_troop_amount,pos_3_names,pos_3_level,pos_3_troop_amount,pos_4_names,pos_4_level,pos_4_troop_amount,pos_5_names,pos_5_level,pos_5_troop_amount,pos_6_names,pos_6_level,pos_6_troop_amount
demon_invasion_group_4,hero_526,1,1,,,,hero_527,6,1,,,,hero_528,6,1,,,
demon_invasion_group_4,hero_529,1,1,,,,hero_530,6,1,,,,hero_531,6,1,,,
demon_invasion_group_4,hero_532,1,1,,,,hero_533,6,1,,,,hero_534,6,1,,,
demon_invasion_group_4,hero_535,1,1,,,,hero_536,6,1,,,,hero_537,6,1,,,
demon_invasion_group_4,hero_538,1,1,,,,hero_539,6,1,,,,hero_540,6,1,,,
demon_invasion_group_4,hero_541,1,1,,,,hero_542,6,1,,,,hero_543,6,1,,,
demon_invasion_group_4,hero_544,1,1,,,,hero_545,6,1,,,,hero_546,6,1,,,
demon_invasion_group_4,hero_547,1,1,,,,hero_548,6,1,,,,hero_549,6,1,,,
demon_invasion_group_4,hero_550,1,1,,,,hero_551,6,1,,,,hero_552,6,1,,,
demon_invasion_group_5,hero_526,6,1,,,,hero_527,11,1,,,,hero_528,11,1,,,
demon_invasion_group_5,hero_529,6,1,,,,hero_530,11,1,,,,hero_531,11,1,,,
demon_invasion_group_5,hero_532,6,1,,,,hero_533,11,1,,,,hero_534,11,1,,,
demon_invasion_group_5,hero_535,6,1,,,,hero_536,11,1,,,,hero_537,11,1,,,
demon_invasion_group_5,hero_538,6,1,,,,hero_539,11,1,,,,hero_540,11,1,,,
demon_invasion_group_5,hero_541,6,1,,,,hero_542,11,1,,,,hero_543,11,1,,,
demon_invasion_group_5,hero_544,6,1,,,,hero_545,11,1,,,,hero_546,11,1,,,
demon_invasion_group_5,hero_547,6,1,,,,hero_548,11,1,,,,hero_549,11,1,,,
demon_invasion_group_5,hero_550,6,1,,,,hero_551,11,1,,,,hero_552,11,1,,,
demon_invasion_group_6,hero_526,11,1,,,,hero_527,16,1,,,,hero_528,16,1,,,
demon_invasion_group_6,hero_529,11,1,,,,hero_530,16,1,,,,hero_531,16,1,,,
demon_invasion_group_6,hero_532,11,1,,,,hero_533,16,1,,,,hero_534,16,1,,,
demon_invasion_group_6,hero_535,11,1,,,,hero_536,16,1,,,,hero_537,16,1,,,
demon_invasion_group_6,hero_538,11,1,,,,hero_539,16,1,,,,hero_540,16,1,,,
demon_invasion_group_6,hero_541,11,1,,,,hero_542,16,1,,,,hero_543,16,1,,,
demon_invasion_group_6,hero_544,11,1,,,,hero_545,16,1,,,,hero_546,16,1,,,
demon_invasion_group_6,hero_547,11,1,,,,hero_548,16,1,,,,hero_549,16,1,,,
demon_invasion_group_6,hero_550,11,1,,,,hero_551,16,1,,,,hero_552,16,1,,,
demon_invasion_group_7,hero_553,1,1,,,,hero_554,21,1,,,,hero_555,21,1,,,
demon_invasion_group_7,hero_556,1,1,,,,hero_557,21,1,,,,hero_558,21,1,,,
demon_invasion_group_7,hero_559,1,1,,,,hero_560,21,1,,,,hero_561,21,1,,,
demon_invasion_group_7,hero_562,1,1,,,,hero_563,21,1,,,,hero_564,21,1,,,
demon_invasion_group_7,hero_565,1,1,,,,hero_566,21,1,,,,hero_567,21,1,,,
demon_invasion_group_7,hero_568,1,1,,,,hero_569,21,1,,,,hero_570,21,1,,,
demon_invasion_group_7,hero_571,1,1,,,,hero_572,21,1,,,,hero_573,21,1,,,
demon_invasion_group_7,hero_574,1,1,,,,hero_575,21,1,,,,hero_576,21,1,,,
demon_invasion_group_7,hero_577,1,1,,,,hero_578,21,1,,,,hero_579,21,1,,,
demon_invasion_group_8,hero_553,6,1,,,,hero_554,26,1,,,,hero_555,26,1,,,
demon_invasion_group_8,hero_556,6,1,,,,hero_557,26,1,,,,hero_558,26,1,,,
demon_invasion_group_8,hero_559,6,1,,,,hero_560,26,1,,,,hero_561,26,1,,,
demon_invasion_group_8,hero_562,6,1,,,,hero_563,26,1,,,,hero_564,26,1,,,
demon_invasion_group_8,hero_565,6,1,,,,hero_566,26,1,,,,hero_567,26,1,,,
demon_invasion_group_8,hero_568,6,1,,,,hero_569,26,1,,,,hero_570,26,1,,,
