name,path
hero_502_s,Sprites/Heroes/S/avatar_hero_502_s
hero_503_s,Sprites/Heroes/S/avatar_hero_503_s
hero_504_s,Sprites/Heroes/S/avatar_hero_504_s
hero_505_s,Sprites/Heroes/S/avatar_hero_505_s
hero_506_s,Sprites/Heroes/S/avatar_hero_506_s
hero_507_s,Sprites/Heroes/S/avatar_hero_507_s
hero_508_s,Sprites/Heroes/S/avatar_hero_301_s
hero_509_s,Sprites/Heroes/S/avatar_hero_301_s
hero_510_s,Sprites/Heroes/S/avatar_hero_301_s
hero_511_s,Sprites/Heroes/S/avatar_hero_301_s
hero_512_s,Sprites/Heroes/S/avatar_hero_301_s
hero_513_s,Sprites/Heroes/S/avatar_hero_301_s
hero_514_s,Sprites/Heroes/S/avatar_hero_301_s
hero_515_s,Sprites/Heroes/S/avatar_hero_301_s
hero_516_s,Sprites/Heroes/S/avatar_hero_301_s
hero_517_s,Sprites/Heroes/S/avatar_hero_301_s
hero_518_s,Sprites/Heroes/S/avatar_hero_301_s
hero_519_s,Sprites/Heroes/S/avatar_hero_301_s
hero_520_s,Sprites/Heroes/S/avatar_hero_301_s
hero_521_s,Sprites/Heroes/S/avatar_hero_301_s
hero_522_s,Sprites/Heroes/S/avatar_hero_301_s
hero_523_s,Sprites/Heroes/S/avatar_hero_301_s
hero_524_s,Sprites/Heroes/S/avatar_hero_301_s
hero_525_s,Sprites/Heroes/S/avatar_hero_301_s
hero_526_s,Sprites/Heroes/S/avatar_hero_306_s
hero_527_s,Sprites/Heroes/S/avatar_hero_301_s
hero_528_s,Sprites/Heroes/S/avatar_hero_301_s
hero_529_s,Sprites/Heroes/S/avatar_hero_306_s
hero_530_s,Sprites/Heroes/S/avatar_hero_301_s
hero_531_s,Sprites/Heroes/S/avatar_hero_301_s
hero_532_s,Sprites/Heroes/S/avatar_hero_306_s
hero_533_s,Sprites/Heroes/S/avatar_hero_301_s
hero_534_s,Sprites/Heroes/S/avatar_hero_301_s
hero_535_s,Sprites/Heroes/S/avatar_hero_306_s
hero_536_s,Sprites/Heroes/S/avatar_hero_301_s
hero_537_s,Sprites/Heroes/S/avatar_hero_301_s
hero_538_s,Sprites/Heroes/S/avatar_hero_306_s
hero_539_s,Sprites/Heroes/S/avatar_hero_301_s
hero_540_s,Sprites/Heroes/S/avatar_hero_301_s
hero_541_s,Sprites/Heroes/S/avatar_hero_306_s
hero_542_s,Sprites/Heroes/S/avatar_hero_301_s
hero_543_s,Sprites/Heroes/S/avatar_hero_301_s
hero_544_s,Sprites/Heroes/S/avatar_hero_306_s
hero_545_s,Sprites/Heroes/S/avatar_hero_301_s
hero_546_s,Sprites/Heroes/S/avatar_hero_301_s
hero_547_s,Sprites/Heroes/S/avatar_hero_306_s
hero_548_s,Sprites/Heroes/S/avatar_hero_301_s
hero_549_s,Sprites/Heroes/S/avatar_hero_301_s
hero_550_s,Sprites/Heroes/S/avatar_hero_306_s
hero_551_s,Sprites/Heroes/S/avatar_hero_301_s
