id,type,townhall_level,name,level,amount,force,produce,times,vitality,locale_desc
1,occupied_resource_times,3,,2,,,,2,5,task_daily_1_desc
2,occupied_resource_times,3,,3,,,,1,10,task_daily_2_desc
3,occupied_resource_times,3,,3,,,,2,15,task_daily_3_desc
4,occupied_resource_times,3,,3,,,,3,15,task_daily_4_desc
5,battle_win,3,,,,,,3,5,task_daily_5_desc
6,battle_win,3,,,,,,5,10,task_daily_6_desc
7,battle_win,3,,,,,,8,15,task_daily_7_desc
8,recruit,3,,,,,,2,5,task_daily_8_desc
9,recruit,3,,,,,,3,10,task_daily_9_desc
10,recruit_amount,3,,,4800,,,,5,task_daily_10_desc
11,hero_levelup_times,3,,,,,,5,5,task_daily_11_desc
12,hero_levelup_times,3,,,,,,6,10,task_daily_12_desc
13,hero_levelup_times,3,,,,,,8,15,task_daily_13_desc
14,building_levelup_times,3,,,,,,1,5,task_daily_14_desc
15,building_levelup_times,3,,,,,,3,10,task_daily_15_desc
16,building_levelup_times,3,,,,,,4,15,task_daily_16_desc
17,resource_produce,3,lumber,,,,400,,5,task_daily_17_desc
18,resource_produce,3,lumber,,,,800,,10,task_daily_18_desc
19,resource_produce,3,lumber,,,,1200,,15,task_daily_19_desc
20,force,3,,,,100,,,5,task_daily_20_desc
21,force,3,,,,120,,,10,task_daily_21_desc
22,force,3,,,,140,,,15,task_daily_22_desc
23,get_tribute_times,3,,,,,,1,5,task_daily_23_desc
24,get_tribute_times,3,,,,,,2,10,task_daily_24_desc
25,get_tribute_times,3,,,,,,4,15,task_daily_25_desc
26,gold_totalamount,3,,,400,,,,5,task_daily_26_desc
27,gold_totalamount,3,,,800,,,,10,task_daily_27_desc
28,gold_totalamount,3,,,1400,,,,15,task_daily_28_desc
29,resource_revoke,3,,,1,,,,5,task_daily_29_desc
30,resource_revoke,3,,,2,,,,10,task_daily_30_desc
31,resource_revoke,3,,,4,,,,15,task_daily_31_desc
32,occupied_resource_times,4,,3,,,,2,5,task_daily_32_desc
33,occupied_resource_times,4,,4,,,,1,10,task_daily_33_desc
34,occupied_resource_times,4,,4,,,,2,15,task_daily_34_desc
35,occupied_resource_times,4,,4,,,,3,15,task_daily_35_desc
36,battle_win,4,,,,,,3,5,task_daily_36_desc
37,battle_win,4,,,,,,5,10,task_daily_37_desc
38,battle_win,4,,,,,,8,15,task_daily_38_desc
39,recruit,4,,,,,,4,5,task_daily_39_desc
40,recruit,4,,,,,,5,10,task_daily_40_desc
41,recruit_amount,4,,,14400,,,,5,task_daily_41_desc
42,hero_levelup_times,4,,,,,,5,5,task_daily_42_desc
43,hero_levelup_times,4,,,,,,6,10,task_daily_43_desc
44,hero_levelup_times,4,,,,,,8,15,task_daily_44_desc
45,pvp_times,4,,,,,,1,5,task_daily_45_desc
46,pvp_times,4,,,,,,2,10,task_daily_46_desc
47,pvp_times,4,,,,,,3,15,task_daily_47_desc
48,building_levelup_times,4,,,,,,1,5,task_daily_48_desc
49,building_levelup_times,4,,,,,,3,10,task_daily_49_desc
50,building_levelup_times,4,,,,,,4,15,task_daily_50_desc
