hero,animation,function,time
hero_112,attack,ActionPlay,0.3
hero_112,skill,AudioPlay,0.4
hero_112,skill,ActionPlay,0.5
hero_112,victor,ActionPlay,0.2
hero_112,failed,ActionPlay,0.2
hero_112,failed,ActionEnd,0.2
hero_006,attack,ActionEnd,1
hero_006,attack,AudioPlay,0.33
hero_006,attack,ActionPlay,0.3
hero_006,skill,AudioPlay,0.44
hero_006,skill,ActionPlay,0.67
hero_006,victor,ActionPlay,0.2
hero_006,failed,ActionPlay,0.2
hero_006,failed,ActionEnd,0.2
hero_102,attack,ActionEnd,1.3
hero_102,attack,AudioPlay,0.4
hero_102,attack,ActionPlay,0.3
hero_102,skill,AudioPlay,0.4
hero_102,skill,ActionPlay,0.5
hero_102,victor,ActionPlay,0.2
hero_102,failed,ActionPlay,0.2
hero_102,failed,ActionEnd,0.2
hero_005,attack,ActionEnd,1.3
hero_005,attack,AudioPlay,0.4
hero_005,attack,ActionPlay,0.3
hero_005,skill,AudioPlay,0.4
hero_005,skill,ActionPlay,0.5
hero_005,victor,ActionPlay,0.2
hero_005,failed,ActionPlay,0.2
hero_005,failed,ActionEnd,0.2
hero_107,attack,ActionEnd,1.3
hero_107,attack,AudioPlay,0.4
hero_107,attack,ActionPlay,0.3
hero_107,skill,AudioPlay,0.4
hero_107,skill,ActionPlay,0.5
hero_107,victor,ActionPlay,0.2
hero_107,failed,ActionPlay,0.2
hero_107,failed,ActionEnd,0.2
hero_303,attack,ActionEnd,1.3
hero_303,attack,AudioPlay,0.4
hero_303,attack,ActionPlay,0.3
hero_303,skill,AudioPlay,0.4
hero_303,skill,ActionPlay,0.5
hero_303,victor,ActionPlay,0.2
hero_303,failed,ActionPlay,0.2
hero_303,failed,ActionEnd,0.2
hero_301,attack,ActionEnd,1.3
hero_301,attack,AudioPlay,0.4
hero_301,attack,ActionPlay,0.3
hero_301,skill,AudioPlay,0.4
