id,x,y
"7,8,202,1",47,33
"7,8,201,1",20,86
"7,7,201,1",30,168
"7,1,200,1",45,229
"7,1,201,1",25,278
"8,8,201,1",24,323
"8,8,200,1",45,401
"8,8,203,1",22,467
"8,7,202,1",33,560
"8,7,200,1",48,609
"8,7,203,1",23,657
"8,6,200,1",37,725
"8,6,202,1",23,778
"1,8,204,1",30,825
"1,8,202,1",27,947
"7,8,200,1",97,55
"7,7,202,1",65,146
"7,1,202,1",73,268
"8,8,202,1",69,364
"8,8,204,1",71,448
"8,7,201,1",71,528
"8,7,204,1",69,674
"8,6,201,1",79,756
"1,8,203,1",65,858
"1,8,200,1",53,902
"1,8,201,1",71,977
"7,7,200,1",101,126
"7,7,203,1",138,145
"7,2,200,1",128,227
"7,2,201,1",147,281
"8,1,200,1",125,354
"8,2,201,1",148,424
"8,2,200,1",116,472
"8,4,200,1",122,558
"8,5,200,1",124,639
"8,5,202,1",142,681
"1,6,202,1",145,721
"1,6,201,1",130,771
"1,7,200,1",142,900
"7,8,204,1",182,27
"7,8,203,1",151,75
"7,7,204,1",172,171
"7,2,202,1",172,247
"8,1,201,1",170,324
"8,1,202,1",167,381
"8,2,202,1",171,470
"8,4,201,1",155,520
"8,4,202,1",159,582
"8,5,201,1",182,634
"1,6,200,1",170,759
