skill_id,audio_skill_cast,audio_skill_hit,audio_skill_move
hero_547_skill_1,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_547_skill_2,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_547_skill_3,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_547_skill_4,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_548_skill_1,hero_301_skill_cast,hero_301_skill_hit,hero_common2_move
hero_549_skill_1,hero_301_skill_cast,hero_301_skill_hit,hero_common2_move
hero_550_skill_1,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_550_skill_2,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_550_skill_3,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_550_skill_4,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_551_skill_1,hero_301_skill_cast,hero_301_skill_hit,hero_common2_move
hero_552_skill_1,hero_301_skill_cast,hero_301_skill_hit,hero_common2_move
hero_553_skill_1,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_553_skill_2,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_553_skill_3,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_553_skill_4,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_553_skill_5,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_554_skill_1,hero_301_skill_cast,hero_301_skill_hit,hero_common2_move
hero_555_skill_1,hero_301_skill_cast,hero_301_skill_hit,hero_common2_move
hero_556_skill_1,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_556_skill_2,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_556_skill_3,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_556_skill_4,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_556_skill_5,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_557_skill_1,hero_301_skill_cast,hero_301_skill_hit,hero_common2_move
hero_558_skill_1,hero_301_skill_cast,hero_301_skill_hit,hero_common2_move
hero_559_skill_1,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_559_skill_2,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_559_skill_3,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_559_skill_4,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_559_skill_5,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_560_skill_1,hero_301_skill_cast,hero_301_skill_hit,hero_common2_move
hero_561_skill_1,hero_301_skill_cast,hero_301_skill_hit,hero_common2_move
hero_562_skill_1,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_562_skill_2,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_562_skill_3,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_562_skill_4,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_562_skill_5,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_563_skill_1,hero_301_skill_cast,hero_301_skill_hit,hero_common2_move
hero_564_skill_1,hero_301_skill_cast,hero_301_skill_hit,hero_common2_move
hero_565_skill_1,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_565_skill_2,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_565_skill_3,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_565_skill_4,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_565_skill_5,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_566_skill_1,hero_301_skill_cast,hero_301_skill_hit,hero_common2_move
hero_567_skill_1,hero_301_skill_cast,hero_301_skill_hit,hero_common2_move
hero_568_skill_1,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_568_skill_2,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
hero_568_skill_3,hero_306_skill_cast,hero_306_skill_hit,hero_common2_move
