hero,animation,function,time
hero_405,failed,ActionPlay,0.2
hero_405,failed,ActionEnd,0.2
hero_406,attack,ActionEnd,1.3
hero_406,attack,AudioPlay,0.4
hero_406,attack,ActionPlay,0.3
hero_406,skill,AudioPlay,0.4
hero_406,skill,ActionPlay,0.5
hero_406,victor,ActionPlay,0.2
hero_406,failed,ActionPlay,0.2
hero_406,failed,ActionEnd,0.2
hero_402,attack,ActionEnd,1.3
hero_402,attack,AudioPlay,0.4
hero_402,attack,ActionPlay,0.3
hero_402,skill,AudioPlay,0.4
hero_402,skill,ActionPlay,0.5
hero_402,victor,ActionPlay,0.2
hero_402,failed,ActionPlay,0.2
hero_402,failed,ActionEnd,0.2
hero_401,attack,ActionEnd,1.3
hero_401,attack,AudioPlay,0.4
hero_401,attack,ActionPlay,0.3
hero_401,skill,AudioPlay,0.4
hero_401,skill,ActionPlay,0.5
hero_401,victor,ActionPlay,0.2
hero_401,failed,ActionPlay,0.2
hero_401,failed,ActionEnd,0.2
hero_404,attack,ActionEnd,1.3
hero_404,attack,AudioPlay,0.4
hero_404,attack,ActionPlay,0.3
hero_404,skill,AudioPlay,0.4
hero_404,skill,ActionPlay,0.5
hero_404,victor,ActionPlay,0.2
hero_404,failed,ActionPlay,0.2
hero_404,failed,ActionEnd,0.2
hero_304,attack,ActionEnd,1.3
hero_304,attack,AudioPlay,0.4
hero_304,attack,ActionPlay,0.3
hero_304,skill,AudioPlay,0.4
hero_304,skill,ActionPlay,0.5
hero_304,victor,ActionPlay,0.2
hero_304,failed,ActionPlay,0.2
hero_304,failed,ActionEnd,0.2
hero_407,attack,ActionEnd,1.3
hero_407,attack,AudioPlay,0.4
hero_407,attack,ActionPlay,0.3
hero_407,skill,AudioPlay,0.4
hero_407,skill,ActionPlay,0.5
hero_407,victor,ActionPlay,0.2
hero_407,failed,ActionPlay,0.2
hero_407,failed,ActionEnd,0.2
