hero,animation,function,time
hero_576,attack,ActionEnd,1.3
hero_576,attack,AudioPlay,0.4
hero_576,attack,ActionPlay,0.3
hero_576,skill,AudioPlay,0.4
hero_576,skill,ActionPlay,0.5
hero_576,victor,ActionPlay,0.2
hero_576,failed,ActionPlay,0.2
hero_576,failed,ActionEnd,0.2
hero_577,attack,ActionEnd,1.3
hero_577,attack,AudioPlay,0.4
hero_577,attack,ActionPlay,0.3
hero_577,skill,AudioPlay,0.4
hero_577,skill,ActionPlay,0.5
hero_577,victor,ActionPlay,0.2
hero_577,failed,ActionPlay,0.2
hero_577,failed,ActionEnd,0.2
hero_578,attack,ActionEnd,1.3
hero_578,attack,AudioPlay,0.4
hero_578,attack,ActionPlay,0.3
hero_578,skill,AudioPlay,0.4
hero_578,skill,ActionPlay,0.5
hero_578,victor,ActionPlay,0.2
hero_578,failed,ActionPlay,0.2
hero_578,failed,ActionEnd,0.2
hero_579,attack,ActionEnd,1.3
hero_579,attack,AudioPlay,0.4
hero_579,attack,ActionPlay,0.3
hero_579,skill,AudioPlay,0.4
hero_579,skill,ActionPlay,0.5
hero_579,victor,ActionPlay,0.2
hero_579,failed,ActionPlay,0.2
hero_579,failed,ActionEnd,0.2
hero_580,attack,ActionEnd,1.3
hero_580,attack,AudioPlay,0.4
hero_580,attack,ActionPlay,0.3
hero_580,skill,AudioPlay,0.4
hero_580,skill,ActionPlay,0.5
hero_580,victor,ActionPlay,0.2
hero_580,failed,ActionPlay,0.2
hero_580,failed,ActionEnd,0.2
hero_581,attack,ActionEnd,1.3
hero_581,attack,AudioPlay,0.4
hero_581,attack,ActionPlay,0.3
hero_581,skill,AudioPlay,0.4
hero_581,skill,ActionPlay,0.5
hero_581,victor,ActionPlay,0.2
hero_581,failed,ActionPlay,0.2
hero_581,failed,ActionEnd,0.2
hero_582,attack,ActionEnd,1.3
hero_582,attack,AudioPlay,0.4
