hero,index,step,end_delay,target
hero_551,skill_1_1,cast,0.2,foot
hero_551,skill_1_1,fly,0.2,head
hero_551,skill_1_1,hit,0.2,foot
hero_552,skill_1_1,cast,0.2,foot
hero_552,skill_1_1,fly,0.2,head
hero_552,skill_1_1,hit,0.2,foot
hero_553,skill_1_1,cast,0.2,foot
hero_553,skill_1_1,fly,0.2,head
hero_553,skill_1_1,hit,0.2,foot
hero_554,skill_1_1,cast,0.2,foot
hero_554,skill_1_1,fly,0.2,head
hero_554,skill_1_1,hit,0.2,foot
hero_555,skill_1_1,cast,0.2,foot
hero_555,skill_1_1,fly,0.2,head
hero_555,skill_1_1,hit,0.2,foot
hero_556,skill_1_1,cast,0.2,foot
hero_556,skill_1_1,fly,0.2,head
hero_556,skill_1_1,hit,0.2,foot
hero_557,skill_1_1,cast,0.2,foot
hero_557,skill_1_1,fly,0.2,head
hero_557,skill_1_1,hit,0.2,foot
hero_558,skill_1_1,cast,0.2,foot
hero_558,skill_1_1,fly,0.2,head
hero_558,skill_1_1,hit,0.2,foot
hero_559,skill_1_1,cast,0.2,foot
hero_559,skill_1_1,fly,0.2,head
hero_559,skill_1_1,hit,0.2,foot
hero_560,skill_1_1,cast,0.2,foot
hero_560,skill_1_1,fly,0.2,head
hero_560,skill_1_1,hit,0.2,foot
hero_561,skill_1_1,cast,0.2,foot
hero_561,skill_1_1,fly,0.2,head
hero_561,skill_1_1,hit,0.2,foot
hero_562,skill_1_1,cast,0.2,foot
hero_562,skill_1_1,fly,0.2,head
hero_562,skill_1_1,hit,0.2,foot
hero_563,skill_1_1,cast,0.2,foot
hero_563,skill_1_1,fly,0.2,head
hero_563,skill_1_1,hit,0.2,foot
hero_564,skill_1_1,cast,0.2,foot
hero_564,skill_1_1,fly,0.2,head
hero_564,skill_1_1,hit,0.2,foot
hero_565,skill_1_1,cast,0.2,foot
hero_565,skill_1_1,fly,0.2,head
hero_565,skill_1_1,hit,0.2,foot
hero_566,skill_1_1,cast,0.2,foot
hero_566,skill_1_1,fly,0.2,head
hero_566,skill_1_1,hit,0.2,foot
hero_567,skill_1_1,cast,0.2,foot
hero_567,skill_1_1,fly,0.2,head
