name,tiers,target,type,percent,damage,defence,health,shield,speed,round,can_be_dispel,drop_effect,hit_effect
hero_562_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_562_skill_2_1,1,selector_self,damup,0.15,,,,,,100,TRUE,,
hero_562_skill_3_1,1,selector_row2_all,damage,0.48,,,,,,,,,
hero_562_skill_4_1,1,selector_random,damdown,0.9,,,,,,2,TRUE,,
hero_562_skill_5_1,1,selector_row1_all,damdown,0.3,,,,,,2,TRUE,,
hero_563_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_564_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_565_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_565_skill_2_1,1,selector_self,damup,0.12,,,,,,100,TRUE,,
hero_565_skill_3_1,1,selector_row2_all,damage,0.39,,,,,,,,,
hero_565_skill_4_1,1,selector_random,damdown,0.75,,,,,,2,TRUE,,
hero_565_skill_5_1,1,selector_row1_all,damdown,0.24,,,,,,2,TRUE,,
hero_566_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_567_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_568_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_568_skill_2_1,1,selector_self,damup,0.099,,,,,,100,TRUE,,
hero_568_skill_3_1,1,selector_row2_all,damage,0.33,,,,,,,,,
hero_568_skill_4_1,1,selector_random,damdown,0.57,,,,,,2,TRUE,,
hero_568_skill_5_1,1,selector_row1_all,damdown,1.2,,,,,,2,TRUE,,
hero_569_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_570_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_571_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_571_skill_2_1,1,selector_self,damup,0.15,,,,,,100,TRUE,,
hero_571_skill_3_1,1,selector_hitme,reflect,0.825,,,,,,,,,
hero_571_skill_4_1,1,selector_random,silence,,,,,,,2,TRUE,,
hero_571_skill_5_1,1,selector_all,damdown,0.15,,,,,,2,TRUE,,
hero_572_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_573_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_574_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_574_skill_2_1,1,selector_self,damup,0.12,,,,,,100,TRUE,,
hero_574_skill_3_1,1,selector_hitme,reflect,0.72,,,,,,,,,
hero_574_skill_4_1,1,selector_random,silence,,,,,,,2,TRUE,,
hero_574_skill_5_1,1,selector_all,damdown,0.12,,,,,,2,TRUE,,
hero_575_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_576_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_577_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_577_skill_2_1,1,selector_self,damup,0.09,,,,,,100,TRUE,,
hero_577_skill_3_1,1,selector_hitme,reflect,0.57,,,,,,,,,
hero_577_skill_4_1,1,selector_random,silence,,,,,,,2,TRUE,,
hero_577_skill_5_1,1,selector_all,damdown,0.09,,,,,,2,TRUE,,
hero_578_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_579_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_580_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_580_skill_2_1,1,selector_self,damup,0.15,,,,,,100,TRUE,,
hero_580_skill_3_1,1,selector_all,confuse,,,,,,,1,TRUE,,
hero_580_skill_4_1,1,selector_col,defdown,0.6,,,,,,3,TRUE,,
hero_580_skill_5_1,1,selector_col,damage,0.9,,,,,,,,,
hero_580_skill_6_1,1,selector_lowesthp,damage,1.425,,,,,,,,,
hero_581_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_582_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
