level,rarity,type,gold,food,lumber,marble,steel,crystal,duration
34,4,scissors,0,0.45,0.14,0.22,0.14,0,0.08
34,4,rock,0,0.45,0.22,0.14,0.14,0,0.08
35,4,paper,0,0.45,0.14,0.14,0.22,0,0.08
35,4,scissors,0,0.45,0.14,0.22,0.14,0,0.08
35,4,rock,0,0.45,0.22,0.14,0.14,0,0.08
36,4,paper,0,0.45,0.14,0.14,0.22,0,0.08
36,4,scissors,0,0.45,0.14,0.22,0.14,0,0.08
36,4,rock,0,0.45,0.22,0.14,0.14,0,0.08
37,4,paper,0,0.45,0.14,0.14,0.22,0,0.08
37,4,scissors,0,0.45,0.14,0.22,0.14,0,0.08
37,4,rock,0,0.45,0.22,0.14,0.14,0,0.08
38,4,paper,0,0.45,0.14,0.14,0.22,0,0.08
38,4,scissors,0,0.45,0.14,0.22,0.14,0,0.08
38,4,rock,0,0.45,0.22,0.14,0.14,0,0.08
39,4,paper,0,0.45,0.14,0.14,0.22,0,0.08
39,4,scissors,0,0.45,0.14,0.22,0.14,0,0.08
39,4,rock,0,0.45,0.22,0.14,0.14,0,0.08
40,4,paper,0,0.45,0.14,0.14,0.22,0,0.08
40,4,scissors,0,0.45,0.14,0.22,0.14,0,0.08
40,4,rock,0,0.45,0.22,0.14,0.14,0,0.08
41,4,paper,0,0.45,0.14,0.14,0.22,0,0.08
41,4,scissors,0,0.45,0.14,0.22,0.14,0,0.08
41,4,rock,0,0.45,0.22,0.14,0.14,0,0.08
42,4,paper,0,0.45,0.14,0.14,0.22,0,0.08
42,4,scissors,0,0.45,0.14,0.22,0.14,0,0.08
42,4,rock,0,0.45,0.22,0.14,0.14,0,0.08
43,4,paper,0,0.45,0.14,0.14,0.22,0,0.08
43,4,scissors,0,0.45,0.14,0.22,0.14,0,0.08
43,4,rock,0,0.45,0.22,0.14,0.14,0,0.08
44,4,paper,0,0.45,0.14,0.14,0.22,0,0.08
44,4,scissors,0,0.45,0.14,0.22,0.14,0,0.08
44,4,rock,0,0.45,0.22,0.14,0.14,0,0.08
45,4,paper,0,0.45,0.14,0.14,0.22,0,0.08
45,4,scissors,0,0.45,0.14,0.22,0.14,0,0.08
45,4,rock,0,0.45,0.22,0.14,0.14,0,0.08
1,5,paper,0,0.7,0.22,0.22,0.34,0,0.08
1,5,scissors,0,0.7,0.22,0.34,0.22,0,0.08
1,5,rock,0,0.7,0.34,0.22,0.22,0,0.08
2,5,paper,0,0.7,0.22,0.22,0.34,0,0.08
2,5,scissors,0,0.7,0.22,0.34,0.22,0,0.08
2,5,rock,0,0.7,0.34,0.22,0.22,0,0.08
3,5,paper,0,0.7,0.22,0.22,0.34,0,0.08
3,5,scissors,0,0.7,0.22,0.34,0.22,0,0.08
3,5,rock,0,0.7,0.34,0.22,0.22,0,0.08
4,5,paper,0,0.7,0.22,0.22,0.34,0,0.08
4,5,scissors,0,0.7,0.22,0.34,0.22,0,0.08
4,5,rock,0,0.7,0.34,0.22,0.22,0,0.08
5,5,paper,0,0.7,0.22,0.22,0.34,0,0.08
5,5,scissors,0,0.7,0.22,0.34,0.22,0,0.08
5,5,rock,0,0.7,0.34,0.22,0.22,0,0.08
6,5,paper,0,0.6,0.19,0.19,0.29,0,0.08
6,5,scissors,0,0.6,0.19,0.29,0.19,0,0.08
6,5,rock,0,0.6,0.29,0.19,0.19,0,0.08
7,5,paper,0,0.6,0.19,0.19,0.29,0,0.08
7,5,scissors,0,0.6,0.19,0.29,0.19,0,0.08
7,5,rock,0,0.6,0.29,0.19,0.19,0,0.08
8,5,paper,0,0.6,0.19,0.19,0.29,0,0.08
8,5,scissors,0,0.6,0.19,0.29,0.19,0,0.08
8,5,rock,0,0.6,0.29,0.19,0.19,0,0.08
9,5,paper,0,0.6,0.19,0.19,0.29,0,0.08
9,5,scissors,0,0.6,0.19,0.29,0.19,0,0.08
9,5,rock,0,0.6,0.29,0.19,0.19,0,0.08
10,5,paper,0,0.6,0.19,0.19,0.29,0,0.08
10,5,scissors,0,0.6,0.19,0.29,0.19,0,0.08
10,5,rock,0,0.6,0.29,0.19,0.19,0,0.08
11,5,paper,0,0.5,0.16,0.16,0.24,0,0.08
11,5,scissors,0,0.5,0.16,0.24,0.16,0,0.08
11,5,rock,0,0.5,0.24,0.16,0.16,0,0.08
12,5,paper,0,0.5,0.16,0.16,0.24,0,0.08
12,5,scissors,0,0.5,0.16,0.24,0.16,0,0.08
12,5,rock,0,0.5,0.24,0.16,0.16,0,0.08
13,5,paper,0,0.5,0.16,0.16,0.24,0,0.08
13,5,scissors,0,0.5,0.16,0.24,0.16,0,0.08
13,5,rock,0,0.5,0.24,0.16,0.16,0,0.08
14,5,paper,0,0.5,0.16,0.16,0.24,0,0.08
14,5,scissors,0,0.5,0.16,0.24,0.16,0,0.08
14,5,rock,0,0.5,0.24,0.16,0.16,0,0.08
15,5,paper,0,0.5,0.16,0.16,0.24,0,0.08
15,5,scissors,0,0.5,0.16,0.24,0.16,0,0.08
15,5,rock,0,0.5,0.24,0.16,0.16,0,0.08
16,5,paper,0,0.45,0.14,0.14,0.22,0,0.08
16,5,scissors,0,0.45,0.14,0.22,0.14,0,0.08
16,5,rock,0,0.45,0.22,0.14,0.14,0,0.08
17,5,paper,0,0.45,0.14,0.14,0.22,0,0.08
17,5,scissors,0,0.45,0.14,0.22,0.14,0,0.08
17,5,rock,0,0.45,0.22,0.14,0.14,0,0.08
18,5,paper,0,0.45,0.14,0.14,0.22,0,0.08
18,5,scissors,0,0.45,0.14,0.22,0.14,0,0.08
18,5,rock,0,0.45,0.22,0.14,0.14,0,0.08
19,5,paper,0,0.45,0.14,0.14,0.22,0,0.08
19,5,scissors,0,0.45,0.14,0.22,0.14,0,0.08
19,5,rock,0,0.45,0.22,0.14,0.14,0,0.08
20,5,paper,0,0.45,0.14,0.14,0.22,0,0.08
20,5,scissors,0,0.45,0.14,0.22,0.14,0,0.08
20,5,rock,0,0.45,0.22,0.14,0.14,0,0.08
21,5,paper,0,0.45,0.14,0.14,0.22,0,0.08
21,5,scissors,0,0.45,0.14,0.22,0.14,0,0.08
21,5,rock,0,0.45,0.22,0.14,0.14,0,0.08
22,5,paper,0,0.45,0.14,0.14,0.22,0,0.08
22,5,scissors,0,0.45,0.14,0.22,0.14,0,0.08
