id,category,type,name,level,amount,tier,force,produce,times,gem,gold,food,lumber,marble,steel,crystal,hero_fragments,locale_title,locale_desc
201,normal,resource_amount,,,184,,,,,,0,1574800,656200,0,0,,,task_201_title,task_201_desc
202,normal,building_level,hallofstone,7,,,,,,,0,0,656200,0,715900,,,task_202_title,task_202_desc
203,normal,hero_level,,41,,,,,,,0,1574800,0,0,715900,,,task_203_title,task_203_desc
204,special,resource_level,,9,,,,,1,,34286,0,0,0,0,,,task_204_title,task_204_desc
205,normal,recruit,,,,,,,31,,0,0,656200,1574800,715900,,,task_205_title,task_205_desc
206,normal,hero_amount,,,30,,,,,,0,0,0,1574800,715900,,,task_206_title,task_206_desc
207,normal,pvp_times,,,,,,,3,,0,0,656200,1574800,715900,,,task_207_title,task_207_desc
208,normal,stronghold_amount,,,13,,,,,,34286,0,0,0,0,,,task_208_title,task_208_desc
209,normal,recruit_amount,,,475000,,,,,,34286,0,0,0,0,,,task_209_title,task_209_desc
210,normal,resource_level,,9,,,,,3,,34286,0,0,0,0,,,task_210_title,task_210_desc
211,special,resource_produce,lumber,,,,,50354,,,34286,0,0,0,0,,,task_211_title,task_211_desc
212,normal,building_level,storage,9,,,,,,,0,0,656200,0,715900,,,task_212_title,task_212_desc
213,normal,hero_amount,,,31,,,,,,0,0,0,1574800,715900,,,task_213_title,task_213_desc
214,normal,attack_npccity,,,,,,,105,,34286,0,0,0,0,,,task_214_title,task_214_desc
215,normal,gold_totalamount,,,1200000,,,,,,0,1574800,656200,0,0,,,task_215_title,task_215_desc
216,normal,stronghold_amount,,,14,,,,,,34286,0,0,0,0,,,task_216_title,task_216_desc
217,normal,attack_pass,,,,,,,53,,34286,1574800,0,1574800,0,,,task_217_title,task_217_desc
218,special,hero_amount,,,32,,,,,,0,0,0,1574800,715900,,,task_218_title,task_218_desc
219,normal,get_tribute_times,,,,,,,4,,0,0,656200,0,715900,,,task_219_title,task_219_desc
220,normal,battle_win,,,,,,,10,,34286,0,656200,1574800,0,,,task_220_title,task_220_desc
221,normal,force,,,,,1280,,,,0,1574800,0,0,0,,,task_221_title,task_221_desc
222,normal,resource_produce,steel,,,,,80565,,,34286,0,0,0,0,,,task_222_title,task_222_desc
223,normal,gold_totalamount,,,2400000,,,,,,0,1574800,656200,0,0,,,task_223_title,task_223_desc
224,normal,attack_npccity,,,,,,,120,,34286,0,0,0,0,,,task_224_title,task_224_desc
225,normal,attack_pass,,,,,,,60,,34286,1574800,0,1574800,0,,,task_225_title,task_225_desc
226,special,pvp_times,,,,,,,5,,0,0,656200,1574800,715900,,,task_226_title,task_226_desc
227,normal,building_level,townhall,10,,,,,,,0,0,656200,0,715900,,,task_227_title,task_227_desc
228,special,specify_building_level,armycamp_F,1,,,,,,,0,0,1354700,2935200,1467600,,,task_228_title,task_228_desc
229,normal,specify_building_level,armycamp_F,10,,,,,,,0,0,1354700,2935200,1467600,,,task_229_title,task_229_desc
230,normal,building_level,altarofchaos,1,,,,,,,0,0,1354700,0,1467600,,,task_230_title,task_230_desc
231,normal,resource_level,,9,,,,,5,,102858,0,0,0,0,,,task_231_title,task_231_desc
232,normal,recruit_amount,,,850000,,,,,,102858,0,0,0,0,,,task_232_title,task_232_desc
233,normal,troop_add_hero,armycamp_F,,,,,,6,,0,2935200,0,0,0,,,task_233_title,task_233_desc
234,normal,building_level,tavern,10,,,,,,,0,0,1354700,0,1467600,,,task_234_title,task_234_desc
235,special,battle_win,,,,,,,5,,102858,0,1354700,2935200,0,,,task_235_title,task_235_desc
236,normal,get_tribute_times,,,,,,,1,,0,0,1354700,0,1467600,,,task_236_title,task_236_desc
237,normal,building_level,templeofthewoods,9,,,,,,,0,0,1354700,0,1467600,,,task_237_title,task_237_desc
238,normal,recruit,,,,,,,36,,0,0,1354700,2935200,1467600,,,task_238_title,task_238_desc
239,normal,resource_amount,,,211,,,,,,0,2935200,1354700,0,0,,,task_239_title,task_239_desc
240,normal,building_level,hallofstone,8,,,,,,,0,0,1354700,0,1467600,,,task_240_title,task_240_desc
241,normal,hero_level,,46,,,,,,,0,2935200,0,0,1467600,,,task_241_title,task_241_desc
242,special,resource_level,,10,,,,,1,,102858,0,0,0,0,,,task_242_title,task_242_desc
243,normal,hero_amount,,,36,,,,,,0,0,0,2935200,1467600,,,task_243_title,task_243_desc
244,normal,stronghold_amount,,,15,,,,,,102858,0,0,0,0,,,task_244_title,task_244_desc
245,normal,recruit_amount,,,1700000,,,,,,102858,0,0,0,0,,,task_245_title,task_245_desc
246,normal,resource_level,,10,,,,,3,,102858,0,0,0,0,,,task_246_title,task_246_desc
247,special,resource_produce,marble,,,,,60019,,,102858,0,0,0,0,,,task_247_title,task_247_desc
248,normal,building_level,storage,10,,,,,,,0,0,1354700,0,1467600,,,task_248_title,task_248_desc
249,normal,hero_amount,,,37,,,,,,0,0,0,2935200,1467600,,,task_249_title,task_249_desc
250,normal,attack_npccity,,,,,,,138,,102858,0,0,0,0,,,task_250_title,task_250_desc
