hero,animation,function,time
hero_594,failed,ActionPlay,0.2
hero_594,failed,ActionEnd,0.2
hero_595,attack,ActionEnd,1.3
hero_595,attack,AudioPlay,0.4
hero_595,attack,ActionPlay,0.3
hero_595,skill,AudioPlay,0.4
hero_595,skill,ActionPlay,0.5
hero_595,victor,ActionPlay,0.2
hero_595,failed,ActionPlay,0.2
hero_595,failed,ActionEnd,0.2
hero_596,attack,ActionEnd,1.3
hero_596,attack,AudioPlay,0.4
hero_596,attack,ActionPlay,0.3
hero_596,skill,AudioPlay,0.4
hero_596,skill,ActionPlay,0.5
hero_596,victor,ActionPlay,0.2
hero_596,failed,ActionPlay,0.2
hero_596,failed,ActionEnd,0.2
hero_597,attack,ActionEnd,1.3
hero_597,attack,AudioPlay,0.4
hero_597,attack,ActionPlay,0.3
hero_597,skill,AudioPlay,0.4
hero_597,skill,ActionPlay,0.5
hero_597,victor,ActionPlay,0.2
hero_597,failed,ActionPlay,0.2
hero_597,failed,ActionEnd,0.2
hero_598,attack,ActionEnd,1.3
hero_598,attack,AudioPlay,0.4
hero_598,attack,ActionPlay,0.3
hero_598,skill,AudioPlay,0.4
hero_598,skill,ActionPlay,0.5
hero_598,victor,ActionPlay,0.2
hero_598,failed,ActionPlay,0.2
hero_598,failed,ActionEnd,0.2
hero_599,attack,ActionEnd,1.3
hero_599,attack,AudioPlay,0.4
hero_599,attack,ActionPlay,0.3
hero_599,skill,AudioPlay,0.4
hero_599,skill,ActionPlay,0.5
hero_599,victor,ActionPlay,0.2
hero_599,failed,ActionPlay,0.2
hero_599,failed,ActionEnd,0.2
hero_600,attack,ActionEnd,1.3
hero_600,attack,AudioPlay,0.4
hero_600,attack,ActionPlay,0.3
hero_600,skill,AudioPlay,0.4
hero_600,skill,ActionPlay,0.5
hero_600,victor,ActionPlay,0.2
hero_600,failed,ActionPlay,0.2
hero_600,failed,ActionEnd,0.2
