id,type,townhall_level,name,level,amount,force,produce,times,vitality,locale_desc
251,resource_produce,9,marble,,,,1200,,15,task_daily_251_desc
252,force,9,,,,400,,,5,task_daily_252_desc
253,force,9,,,,480,,,10,task_daily_253_desc
254,force,9,,,,560,,,15,task_daily_254_desc
255,get_tribute_times,9,,,,,,1,5,task_daily_255_desc
256,get_tribute_times,9,,,,,,2,10,task_daily_256_desc
257,get_tribute_times,9,,,,,,4,15,task_daily_257_desc
258,gold_totalamount,9,,,2100,,,,5,task_daily_258_desc
259,gold_totalamount,9,,,4300,,,,10,task_daily_259_desc
260,gold_totalamount,9,,,7100,,,,15,task_daily_260_desc
261,resource_revoke,9,,,1,,,,5,task_daily_261_desc
262,resource_revoke,9,,,2,,,,10,task_daily_262_desc
263,resource_revoke,9,,,4,,,,15,task_daily_263_desc
264,attack_npccity,9,,,,,,1,5,task_daily_264_desc
265,attack_npccity,9,,,,,,2,10,task_daily_265_desc
266,attack_npccity,9,,,,,,3,15,task_daily_266_desc
267,attack_pass,9,,,,,,1,5,task_daily_267_desc
268,attack_pass,9,,,,,,2,10,task_daily_268_desc
269,attack_pass,9,,,,,,3,15,task_daily_269_desc
270,occupied_resource_times,10,,9,,,,1,5,task_daily_270_desc
271,occupied_resource_times,10,,9,,,,2,10,task_daily_271_desc
272,occupied_resource_times,10,,10,,,,1,10,task_daily_272_desc
273,occupied_resource_times,10,,10,,,,2,15,task_daily_273_desc
274,battle_win,10,,,,,,3,5,task_daily_274_desc
275,battle_win,10,,,,,,5,10,task_daily_275_desc
276,battle_win,10,,,,,,8,15,task_daily_276_desc
277,recruit,10,,,,,,16,5,task_daily_277_desc
278,recruit,10,,,,,,17,10,task_daily_278_desc
279,recruit_amount,10,,,1224000,,,,5,task_daily_279_desc
280,hero_levelup_times,10,,,,,,4,5,task_daily_280_desc
281,hero_levelup_times,10,,,,,,5,10,task_daily_281_desc
282,hero_levelup_times,10,,,,,,7,15,task_daily_282_desc
283,pvp_times,10,,,,,,1,5,task_daily_283_desc
284,pvp_times,10,,,,,,2,10,task_daily_284_desc
285,pvp_times,10,,,,,,3,15,task_daily_285_desc
286,building_levelup_times,10,,,,,,1,5,task_daily_286_desc
287,building_levelup_times,10,,,,,,2,10,task_daily_287_desc
288,building_levelup_times,10,,,,,,3,15,task_daily_288_desc
289,resource_produce,10,lumber,,,,400,,5,task_daily_289_desc
290,resource_produce,10,lumber,,,,800,,10,task_daily_290_desc
291,resource_produce,10,lumber,,,,1200,,15,task_daily_291_desc
292,force,10,,,,450,,,5,task_daily_292_desc
293,force,10,,,,540,,,10,task_daily_293_desc
294,force,10,,,,630,,,15,task_daily_294_desc
295,get_tribute_times,10,,,,,,1,5,task_daily_295_desc
296,get_tribute_times,10,,,,,,2,10,task_daily_296_desc
297,get_tribute_times,10,,,,,,4,15,task_daily_297_desc
298,gold_totalamount,10,,,2400,,,,5,task_daily_298_desc
299,gold_totalamount,10,,,4700,,,,10,task_daily_299_desc
300,gold_totalamount,10,,,7900,,,,15,task_daily_300_desc
