name,force,interval,gem,gold,lumber,marble,steel,food,crystal
tribute_101,575,3,0,6,3200,3200,16000,3200,0
tribute_102,575,3,0,6,3200,3200,3200,6400,0
tribute_103,575,3,0,6,16000,3200,3200,3200,0
tribute_104,575,3,0,6,3200,16000,3200,3200,0
tribute_105,575,3,0,6,3200,3200,16000,3200,0
tribute_106,575,3,0,6,3200,3200,3200,6400,0
tribute_107,575,3,0,6,16000,3200,3200,3200,0
tribute_108,575,3,0,6,3200,16000,3200,3200,0
tribute_109,575,3,0,6,3200,3200,16000,3200,0
tribute_110,575,3,0,6,3200,3200,3200,6400,0
tribute_111,575,3,0,6,16000,3200,3200,3200,0
tribute_112,575,3,0,6,3200,16000,3200,3200,0
tribute_113,1735,3,0,6,29200,5800,5800,5800,0
tribute_114,1735,3,0,6,5800,29200,5800,5800,0
tribute_115,1735,3,0,6,5800,5800,29200,5800,0
tribute_116,1735,3,0,6,5800,5800,5800,11700,0
tribute_117,1735,3,0,6,29200,5800,5800,5800,0
tribute_118,1735,3,0,6,5800,29200,5800,5800,0
tribute_119,1735,3,0,6,5800,5800,29200,5800,0
tribute_120,1735,3,0,6,5800,5800,5800,11700,0
tribute_121,1735,3,0,6,29200,5800,5800,5800,0
tribute_122,1735,3,0,6,5800,29200,5800,5800,0
tribute_123,1735,3,0,6,5800,5800,29200,5800,0
tribute_124,1735,3,0,6,5800,5800,5800,11700,0
tribute_125,1735,3,0,6,29200,5800,5800,5800,0
tribute_126,1735,3,0,6,5800,29200,5800,5800,0
tribute_127,1735,3,0,6,5800,5800,29200,5800,0
tribute_128,1735,3,0,6,5800,5800,5800,11700,0
tribute_129,1735,3,0,6,29200,5800,5800,5800,0
tribute_130,1735,3,0,6,5800,29200,5800,5800,0
tribute_131,1735,3,0,6,5800,5800,29200,5800,0
tribute_132,1735,3,0,6,5800,5800,5800,11700,0
tribute_133,1735,3,0,6,29200,5800,5800,5800,0
tribute_134,1735,3,0,6,5800,29200,5800,5800,0
tribute_135,1735,3,0,6,5800,5800,29200,5800,0
tribute_136,1735,3,0,6,5800,5800,5800,11700,0
tribute_137,1735,3,0,6,29200,5800,5800,5800,0
tribute_138,1735,3,0,6,5800,29200,5800,5800,0
tribute_139,1735,3,0,6,5800,5800,29200,5800,0
tribute_140,1735,3,0,6,5800,5800,5800,11700,0
tribute_141,1735,3,0,6,29200,5800,5800,5800,0
tribute_142,1735,3,0,6,5800,29200,5800,5800,0
tribute_143,1735,3,0,6,5800,5800,29200,5800,0
tribute_144,1735,3,0,6,5800,5800,5800,11700,0
tribute_145,1735,3,0,6,29200,5800,5800,5800,0
tribute_146,1735,3,0,6,5800,29200,5800,5800,0
tribute_147,1735,3,0,6,5800,5800,29200,5800,0
tribute_148,1735,3,0,6,5800,5800,5800,11700,0
tribute_149,1735,3,0,6,29200,5800,5800,5800,0
tribute_150,1735,3,0,6,5800,29200,5800,5800,0
