default_skill,{0},{1},{2},{3},{4},{5},{6},{7}
default_hero_601_skill_3,100,0,650,0,24,0,0,0
default_hero_601_skill_4,100,70,0,2,0,0,0,0
default_hero_601_skill_5,100,50,0,2,0,0,0,0
default_hero_601_skill_6,100,30,3248,0,120,0,0,0
default_hero_602_skill_1,100,0,0,0,0,0,0,0
default_hero_603_skill_1,100,0,0,0,0,0,0,0
default_hero_604_skill_1,100,0,0,0,0,0,0,0
default_hero_604_skill_2,100,0,324,100,9.45,0,0,0
default_hero_604_skill_3,100,0,667,0,19.5,0,0,0
default_hero_604_skill_4,100,70,0,2,0,0,0,0
default_hero_604_skill_5,100,50,0,2,0,0,0,0
default_hero_604_skill_6,100,30,3231,0,94.5,0,0,0
default_hero_605_skill_1,100,0,0,0,0,0,0,0
default_hero_606_skill_1,100,0,0,0,0,0,0,0
default_hero_607_skill_1,100,0,0,0,0,0,0,0
default_hero_607_skill_2,100,0,216,100,9.45,0,0,0
default_hero_607_skill_3,100,0,650,0,28.5,0,0,0
default_hero_607_skill_4,100,70,684,0,30,171,2,15
default_hero_607_skill_5,100,50,684,0,30,171,2,7.5
default_hero_607_skill_6,100,30,3419,0,150,0,0,0
default_hero_608_skill_1,100,0,12,0,6,0,0,0
default_hero_609_skill_1,100,0,12,0,6,0,0,0
default_hero_610_skill_1,100,0,0,0,0,0,0,0
default_hero_610_skill_2,100,0,325,100,12,0,0,0
default_hero_610_skill_3,100,0,650,0,24,0,0,0
default_hero_610_skill_4,100,70,691,0,25.5,161,2,15
default_hero_610_skill_5,100,50,609,0,22.5,203,2,7.5
default_hero_610_skill_6,100,30,3248,0,120,0,0,0
default_hero_611_skill_1,100,0,12,0,6,0,0,0
default_hero_612_skill_1,100,0,12,0,6,0,0,0
default_hero_613_skill_1,100,0,0,0,0,0,0,0
default_hero_613_skill_2,100,0,324,100,9.45,0,0,0
default_hero_613_skill_3,100,0,667,0,19.5,0,0,0
default_hero_613_skill_4,100,70,667,0,19.5,173,2,240
default_hero_613_skill_5,100,50,667,0,19.5,206,2,6
default_hero_613_skill_6,100,30,3231,0,94.5,0,0,0
default_hero_614_skill_1,100,0,12,0,6,0,0,0
default_hero_615_skill_1,100,0,12,0,6,0,0,0
default_hero_616_skill_1,25,0,894,0,300,0,3,0
default_hero_617_skill_1,33,50,112,3,37.5,30,3,0
default_hero_618_skill_1,25,0,179,3,60,0,0,0
default_hero_619_skill_1,45,0,447,0,150,83,4,37.5
default_hero_620_skill_1,70,0,358,0,120,0,0,0
default_hero_621_skill_1,90,0,29,3,1.5,20,3,9
default_hero_622_skill_1,25,0,133,3,34.5,0,3,0
default_hero_623_skill_1,33,0,144,3,7.5,0,3,0
default_hero_624_skill_1,100,0,29,0,1.5,30,0,0
default_hero_625_skill_1,75,0,144,0,37.5,0,0,0
default_hero_626_skill_1,70,0,375,0,19.5,0,0,0
default_hero_627_skill_1,80,0,461,0,24,0,3,0
