"name	",path,type
hero_601,hero_306,1
hero_602,hero_301,1
hero_603,hero_301,1
hero_604,hero_306,1
hero_605,hero_301,1
hero_606,hero_301,1
hero_607,hero_306,1
hero_608,hero_301,1
hero_609,hero_301,1
hero_610,hero_306,1
hero_611,hero_301,1
hero_612,hero_301,1
hero_613,hero_306,1
hero_614,hero_301,1
hero_615,hero_301,1
hero_616,hero_407,1
hero_617,hero_407,1
hero_618,hero_407,1
hero_619,hero_407,1
hero_620,hero_407,1
hero_621,hero_407,1
hero_622,hero_407,1
hero_623,hero_407,1
hero_624,hero_407,1
hero_625,hero_407,1
hero_626,hero_407,1
hero_627,hero_407,1
hero_628,hero_407,1
hero_629,hero_407,1
hero_630,hero_407,1
hero_631,hero_407,1
hero_632,hero_407,1
hero_633,hero_407,1
