hero,point,root,x,y,z
hero_012,skill_last.head,,0,1.9,-0.2
hero_012,skill_last.body,,0,0.7,-0.2
hero_012,skill_last.foot,,0,0,-0.2
hero_012,skill_hit.head,,0,1.9,0
hero_012,skill_hit.body,,0,0.7,0
hero_012,skill_hit.foot,,0,0,0
hero_012,health,,0,0,0
hero_012,friend,,0,0,0
hero_012,enemy,,0,0,0
hero_012,cast,Hmale02,0,0,0
hero_012,fly,,0,0,0
hero_012,idle,,0,0,0
hero_012,lose,,0,0,0
hero_012,win,,0,0,0
hero_012,move,,0,0,0
hero_110,skill_last.head,,0,1.9,-0.2
hero_110,skill_last.body,,0,0.7,-0.2
hero_110,skill_last.foot,,0,0,-0.2
hero_110,skill_hit.head,,0,1.9,0
hero_110,skill_hit.body,,0,0.7,0
hero_110,skill_hit.foot,,0,0,0
hero_110,health,,0,0,0
hero_110,friend,,0,0,0
hero_110,enemy,,0,0,0
hero_110,cast,Hmale02,0,0,0
hero_110,fly,,0,0,0
hero_110,idle,,0,0,0
hero_110,lose,,0,0,0
hero_110,win,,0,0,0
hero_110,move,,0,0,0
hero_104,skill_last.head,,0,1.9,-0.2
hero_104,skill_last.body,,0,0.7,-0.2
hero_104,skill_last.foot,,0,0,-0.2
hero_104,skill_hit.head,,0,1.9,0
hero_104,skill_hit.body,,0,0.7,0
hero_104,skill_hit.foot,,0,0,0
hero_104,health,,0,0,0
hero_104,friend,,0,0,0
hero_104,enemy,,0,0,0
hero_104,cast,Hmale02,0,0,0
hero_104,fly,,0,0,0
hero_104,idle,,0,0,0
hero_104,lose,,0,0,0
hero_104,win,,0,0,0
hero_104,move,,0,0,0
hero_203,skill_last.head,,0,1.9,-0.2
hero_203,skill_last.body,,0,0.7,-0.2
hero_203,skill_last.foot,,0,0,-0.2
hero_203,skill_hit.head,,0,1.9,0
hero_203,skill_hit.body,,0,0.7,0
