hero,point,root,x,y,z
hero_617,fly,,0,0,0
hero_617,idle,,0,0,0
hero_617,lose,,0,0,0
hero_617,win,,0,0,0
hero_617,move,,0,0,0
hero_618,skill_last.head,,0,1.9,-0.2
hero_618,skill_last.body,,0,0.7,-0.2
hero_618,skill_last.foot,,0,0,-0.2
hero_618,skill_hit.head,,0,1.9,0
hero_618,skill_hit.body,,0,0.7,0
hero_618,skill_hit.foot,,0,0,0
hero_618,health,,0,0,0
hero_618,friend,,0,0,0
hero_618,enemy,,0,0,0
hero_618,cast,Hmale02,0,0,0
hero_618,fly,,0,0,0
hero_618,idle,,0,0,0
hero_618,lose,,0,0,0
hero_618,win,,0,0,0
hero_618,move,,0,0,0
hero_619,skill_last.head,,0,1.9,-0.2
hero_619,skill_last.body,,0,0.7,-0.2
hero_619,skill_last.foot,,0,0,-0.2
hero_619,skill_hit.head,,0,1.9,0
hero_619,skill_hit.body,,0,0.7,0
hero_619,skill_hit.foot,,0,0,0
hero_619,health,,0,0,0
hero_619,friend,,0,0,0
hero_619,enemy,,0,0,0
hero_619,cast,Hmale02,0,0,0
hero_619,fly,,0,0,0
hero_619,idle,,0,0,0
hero_619,lose,,0,0,0
hero_619,win,,0,0,0
hero_619,move,,0,0,0
hero_620,skill_last.head,,0,1.9,-0.2
hero_620,skill_last.body,,0,0.7,-0.2
hero_620,skill_last.foot,,0,0,-0.2
hero_620,skill_hit.head,,0,1.9,0
hero_620,skill_hit.body,,0,0.7,0
hero_620,skill_hit.foot,,0,0,0
hero_620,health,,0,0,0
hero_620,friend,,0,0,0
hero_620,enemy,,0,0,0
hero_620,cast,Hmale02,0,0,0
hero_620,fly,,0,0,0
hero_620,idle,,0,0,0
hero_620,lose,,0,0,0
hero_620,win,,0,0,0
hero_620,move,,0,0,0
