hero,index,step,end_delay,target
hero_501,attack_1_1,fly,0.2,head
hero_501,attack_1_1,hit,0.2,foot
hero_502,attack_1_1,fly,0.2,head
hero_502,attack_1_1,hit,0.2,foot
hero_503,attack_1_1,fly,0.2,head
hero_503,attack_1_1,hit,0.2,foot
hero_504,attack_1_1,fly,0.2,head
hero_504,attack_1_1,hit,0.2,foot
hero_505,attack_1_1,fly,0.2,head
hero_505,attack_1_1,hit,0.2,foot
hero_506,attack_1_1,fly,0.2,head
hero_506,attack_1_1,hit,0.2,foot
hero_507,attack_1_1,fly,0.2,head
hero_507,attack_1_1,hit,0.2,foot
hero_508,attack_1_1,fly,0.2,head
hero_508,attack_1_1,hit,0.2,foot
hero_509,attack_1_1,move,0.2,head
hero_509,attack_1_1,hit,0.2,foot
hero_510,attack_1_1,move,0.2,head
hero_510,attack_1_1,hit,0.2,foot
hero_511,attack_1_1,move,0.2,head
hero_511,attack_1_1,hit,0.2,foot
hero_512,attack_1_1,fly,0.2,head
hero_512,attack_1_1,hit,0.2,foot
hero_513,attack_1_1,fly,0.2,head
hero_513,attack_1_1,hit,0.2,foot
hero_514,attack_1_1,fly,0.2,head
hero_514,attack_1_1,hit,0.2,foot
hero_515,attack_1_1,fly,0.2,head
hero_515,attack_1_1,hit,0.2,foot
hero_516,attack_1_1,fly,0.2,head
hero_516,attack_1_1,hit,0.2,foot
hero_517,attack_1_1,fly,0.2,head
hero_517,attack_1_1,hit,0.2,foot
hero_518,attack_1_1,fly,0.2,head
hero_518,attack_1_1,hit,0.2,foot
hero_519,attack_1_1,fly,0.2,head
hero_519,attack_1_1,hit,0.2,foot
hero_520,attack_1_1,move,0.2,head
hero_520,attack_1_1,hit,0.2,foot
hero_521,attack_1_1,move,0.2,head
hero_521,attack_1_1,hit,0.2,foot
hero_522,attack_1_1,move,0.2,head
hero_522,attack_1_1,hit,0.2,foot
hero_523,attack_1_1,fly,0.2,head
hero_523,attack_1_1,hit,0.2,foot
hero_524,attack_1_1,fly,0.2,head
hero_524,attack_1_1,hit,0.2,foot
hero_525,attack_1_1,fly,0.2,head
hero_525,attack_1_1,hit,0.2,foot
