id,level,type,name,race,tribute_gold_buff,tribute_gold_buff_bonus,alliance_tribute_gold_buff,gold,lumber,marble,steel,food,lumber_buff,marble_buff,steel_buff,food_buff,stronghold_time_buff,durability,force,alliance_exp,size,rank_points,limit_time,limit_gem
"1,6,200,1",7,zone_capital,naghria_center,dwarf,0,2,48,0,282000,282000,282000,282000,2700,6300,0,0,0.3,315000,0,720300,m,6860,1303812,75
"1,6,200,0",7,zone_capital,naghria_outside,dwarf,40,0,0,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"1,6,201,1",6,normal,deermire_center,raider,0,2,36,0,216000,216000,216000,216000,3460,0,870,0,0,135000,0,388800,s,2160,825588,68
"1,6,201,0",6,normal,deermire_outside,raider,30,0,0,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"1,6,202,1",4,normal,limepass_center,raider,0,2,24,0,72000,72000,72000,72000,0,2310,0,580,0,19000,0,76800,s,640,361548,53
"1,6,202,0",4,normal,limepass_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"2,8,200,1",7,zone_capital,weststall_center,dwarf,0,2,48,0,282000,282000,282000,282000,0,9000,0,0,0.3,315000,0,720300,m,6860,1303812,75
"2,8,200,0",7,zone_capital,weststall_outside,dwarf,40,0,0,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"2,8,201,1",4,normal,dholbor_center,raider,0,2,24,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"2,8,201,0",4,normal,dholbor_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"2,8,202,1",6,normal,shadowtown_center,raider,0,2,36,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"2,8,202,0",6,normal,shadowtown_outside,raider,30,0,0,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"2,8,203,1",5,normal,fayglen_center,dwarf,0,2,30,0,144000,144000,144000,144000,0,1080,2520,0,0,78000,0,187500,s,1250,551808,60
"2,8,203,0",5,normal,fayglen_outside,dwarf,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"2,8,204,1",4,normal,merrihm_center,raider,0,2,24,0,72000,72000,72000,72000,0,2880,0,0,0,19000,0,76800,s,640,361548,53
"2,8,204,0",4,normal,merrihm_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
