hero,point,root,x,y,z
hero_305,skill_last.head,,0,1.9,-0.2
hero_305,skill_last.body,,0,0.7,-0.2
hero_305,skill_last.foot,,0,0,-0.2
hero_305,skill_hit.head,,0,1.9,0
hero_305,skill_hit.body,,0,0.7,0
hero_305,skill_hit.foot,,0,0,0
hero_305,health,,0,0,0
hero_305,friend,,0,0,0
hero_305,enemy,,0,0,0
hero_305,cast,Hmale02,0,0,0
hero_305,fly,,0,0,0
hero_305,idle,,0,0,0
hero_305,lose,,0,0,0
hero_305,win,,0,0,0
hero_305,move,,0,0,0
hero_307,skill_last.head,,0,1.9,-0.2
hero_307,skill_last.body,,0,0.7,-0.2
hero_307,skill_last.foot,,0,0,-0.2
hero_307,skill_hit.head,,0,1.9,0
hero_307,skill_hit.body,,0,0.7,0
hero_307,skill_hit.foot,,0,0,0
hero_307,health,,0,0,0
hero_307,friend,,0,0,0
hero_307,enemy,,0,0,0
hero_307,cast,Hmale02,0,0,0
hero_307,fly,,0,0,0
hero_307,idle,,0,0,0
hero_307,lose,,0,0,0
hero_307,win,,0,0,0
hero_307,move,,0,0,0
hero_403,skill_last.head,,0,1.9,-0.2
hero_403,skill_last.body,,0,0.7,-0.2
hero_403,skill_last.foot,,0,0,-0.2
hero_403,skill_hit.head,,0,1.9,0
hero_403,skill_hit.body,,0,0.7,0
hero_403,skill_hit.foot,,0,0,0
hero_403,health,,0,0,0
hero_403,friend,,0,0,0
hero_403,enemy,,0,0,0
hero_403,cast,Hmale02,0,0,0
hero_403,fly,,0,0,0
hero_403,idle,,0,0,0
hero_403,lose,,0,0,0
hero_403,win,,0,0,0
hero_403,move,,0,0,0
hero_002,skill_last.head,,0,1.9,-0.2
hero_002,skill_last.body,,0,0.7,-0.2
hero_002,skill_last.foot,,0,0,-0.2
hero_002,skill_hit.head,,0,1.9,0
hero_002,skill_hit.body,,0,0.7,0
