name,trigger,percent,hp_percent,trigger_interval,max_trigger_times,effect,description,cast_effect
hero_601_skill_3,default,1,0,3,20,hero_601_skill_3_1,skilldes_hero_601_skill_3,
hero_601_skill_4,hp,1,0.7,3,20,hero_601_skill_4_1,skilldes_hero_601_skill_4,
hero_601_skill_5,hp,1,0.5,3,20,hero_601_skill_5_1,skilldes_hero_601_skill_5,
hero_601_skill_6,hp,1,0.3,2,20,hero_601_skill_6_1,skilldes_hero_601_skill_6,
hero_602_skill_1,halo,1,0,0,20,hero_602_skill_1_1,skilldes_hero_602_skill_1,
hero_603_skill_1,halo,1,0,0,20,hero_603_skill_1_1,skilldes_hero_603_skill_1,
hero_604_skill_1,halo,1,0,0,20,"hero_604_skill_1_1,hero_604_skill_1_2",skilldes_hero_604_skill_1,
hero_604_skill_2,default,1,0,2,20,hero_604_skill_2_1,skilldes_hero_604_skill_2,
hero_604_skill_3,default,1,0,3,20,hero_604_skill_3_1,skilldes_hero_604_skill_3,
hero_604_skill_4,hp,1,0.7,3,20,hero_604_skill_4_1,skilldes_hero_604_skill_4,
hero_604_skill_5,hp,1,0.5,3,20,hero_604_skill_5_1,skilldes_hero_604_skill_5,
hero_604_skill_6,hp,1,0.3,2,20,hero_604_skill_6_1,skilldes_hero_604_skill_6,
hero_605_skill_1,halo,1,0,0,20,hero_605_skill_1_1,skilldes_hero_605_skill_1,
hero_606_skill_1,halo,1,0,0,20,hero_606_skill_1_1,skilldes_hero_606_skill_1,
hero_607_skill_1,halo,1,0,0,20,"hero_607_skill_1_1,hero_607_skill_1_2",skilldes_hero_607_skill_1,
hero_607_skill_2,default,1,0,2,20,hero_607_skill_2_1,skilldes_hero_607_skill_2,
hero_607_skill_3,default,1,0,3,20,"hero_607_skill_3_1,hero_607_skill_3_2",skilldes_hero_607_skill_3,
hero_607_skill_4,hp,1,0.7,3,20,"hero_607_skill_4_1,hero_607_skill_4_2",skilldes_hero_607_skill_4,
hero_607_skill_5,hp,1,0.5,3,20,"hero_607_skill_5_1,hero_607_skill_5_2",skilldes_hero_607_skill_5,
hero_607_skill_6,hp,1,0.3,2,20,hero_607_skill_6_1,skilldes_hero_607_skill_6,
hero_608_skill_1,default,1,0,1,20,hero_608_skill_1_1,skilldes_hero_608_skill_1,
hero_609_skill_1,default,1,0,1,20,hero_609_skill_1_1,skilldes_hero_609_skill_1,
hero_610_skill_1,halo,1,0,0,20,"hero_610_skill_1_1,hero_610_skill_1_2",skilldes_hero_610_skill_1,
hero_610_skill_2,default,1,0,2,20,hero_610_skill_2_1,skilldes_hero_610_skill_2,
hero_610_skill_3,default,1,0,3,20,"hero_610_skill_3_1,hero_610_skill_3_2",skilldes_hero_610_skill_3,
hero_610_skill_4,hp,1,0.7,3,20,"hero_610_skill_4_1,hero_610_skill_4_2",skilldes_hero_610_skill_4,
hero_610_skill_5,hp,1,0.5,3,20,"hero_610_skill_5_1,hero_610_skill_5_2",skilldes_hero_610_skill_5,
hero_610_skill_6,hp,1,0.3,2,20,hero_610_skill_6_1,skilldes_hero_610_skill_6,
hero_611_skill_1,default,1,0,1,20,hero_611_skill_1_1,skilldes_hero_611_skill_1,
hero_612_skill_1,default,1,0,1,20,hero_612_skill_1_1,skilldes_hero_612_skill_1,
hero_613_skill_1,halo,1,0,0,20,"hero_613_skill_1_1,hero_613_skill_1_2",skilldes_hero_613_skill_1,
hero_613_skill_2,default,1,0,2,20,hero_613_skill_2_1,skilldes_hero_613_skill_2,
hero_613_skill_3,default,1,0,3,20,"hero_613_skill_3_1,hero_613_skill_3_2",skilldes_hero_613_skill_3,
hero_613_skill_4,hp,1,0.7,3,20,"hero_613_skill_4_1,hero_613_skill_4_2",skilldes_hero_613_skill_4,
hero_613_skill_5,hp,1,0.5,3,20,"hero_613_skill_5_1,hero_613_skill_5_2",skilldes_hero_613_skill_5,
hero_613_skill_6,hp,1,0.3,2,20,hero_613_skill_6_1,skilldes_hero_613_skill_6,
hero_614_skill_1,default,1,0,1,20,hero_614_skill_1_1,skilldes_hero_614_skill_1,
hero_615_skill_1,default,1,0,1,20,hero_615_skill_1_1,skilldes_hero_615_skill_1,
hero_616_skill_1,hitme,0.25,0,1,20,"hero_616_skill_1_1,hero_616_skill_1_2",skilldes_hero_616_skill_1,
hero_617_skill_1,hp,0.33,0.5,1,20,"hero_617_skill_1_1,hero_617_skill_1_2",skilldes_hero_617_skill_1,
hero_618_skill_1,hitme,0.25,0,1,20,hero_618_skill_1_1,skilldes_hero_618_skill_1,
hero_619_skill_1,hitme,0.45,0,0,20,"hero_619_skill_1_1,hero_619_skill_1_2",skilldes_hero_619_skill_1,
hero_620_skill_1,dead,0.7,0,0,20,hero_620_skill_1_1,skilldes_hero_620_skill_1,
hero_621_skill_1,dead,0.9,0,0,20,"hero_621_skill_1_1,hero_621_skill_1_2",skilldes_hero_621_skill_1,
hero_622_skill_1,default,0.25,0,2,20,"hero_622_skill_1_1,hero_622_skill_1_2",skilldes_hero_622_skill_1,
hero_623_skill_1,default,0.33,0,2,20,"hero_623_skill_1_1,hero_623_skill_1_2",skilldes_hero_623_skill_1,
hero_624_skill_1,halo,1,0,2,20,"hero_624_skill_1_1,hero_624_skill_1_2",skilldes_hero_624_skill_1,
hero_625_skill_1,ihit,0.75,0,0,20,"hero_625_skill_1_1,hero_625_skill_1_2",skilldes_hero_625_skill_1,
hero_626_skill_1,dead,0.7,0,100,20,hero_626_skill_1_1,skilldes_hero_626_skill_1,
hero_627_skill_1,dead,0.8,0,100,20,"hero_627_skill_1_1,hero_627_skill_1_2",skilldes_hero_627_skill_1,
