id,category,type,name,level,amount,tier,force,produce,times,gem,gold,food,lumber,marble,steel,crystal,hero_fragments,locale_title,locale_desc
151,normal,resource_produce,lumber,,,,,47460,,,5715,0,0,0,0,,,task_151_title,task_151_desc
152,normal,gold_totalamount,,,400000,,,,,,0,461600,192400,0,0,,,task_152_title,task_152_desc
153,normal,attack_npccity,,,,,,,65,,5715,0,0,0,0,,,task_153_title,task_153_desc
154,normal,attack_pass,,,,,,,33,,5715,461600,0,461600,0,,,task_154_title,task_154_desc
155,special,pvp_times,,,,,,,5,,0,0,192400,461600,209900,,,task_155_title,task_155_desc
156,normal,building_level,townhall,8,,,,,,,0,0,192400,0,209900,,,task_156_title,task_156_desc
157,special,specify_building_level,armycamp_E,1,,,,,,,0,0,467800,801800,510300,,,task_157_title,task_157_desc
158,normal,specify_building_level,armycamp_E,8,,,,,,,0,0,467800,801800,510300,,,task_158_title,task_158_desc
159,normal,building_amount,,,11,,,,,,0,801800,0,801800,0,,,task_159_title,task_159_desc
160,normal,resource_level,,7,,,,,5,,14286,0,0,0,0,,,task_160_title,task_160_desc
161,normal,recruit_amount,,,260000,,,,,,14286,0,0,0,0,,,task_161_title,task_161_desc
162,normal,troop_add_hero,armycamp_E,,,,,,5,,0,801800,0,0,0,,,task_162_title,task_162_desc
163,normal,building_level,tavern,8,,,,,,,0,0,467800,0,510300,,,task_163_title,task_163_desc
164,special,battle_win,,,,,,,5,,14286,0,467800,801800,0,,,task_164_title,task_164_desc
165,normal,get_tribute_times,,,,,,,1,,0,0,467800,0,510300,,,task_165_title,task_165_desc
166,normal,building_level,templeofthewoods,7,,,,,,,0,0,467800,0,510300,,,task_166_title,task_166_desc
167,normal,recruit,,,,,,,25,,0,0,467800,801800,510300,,,task_167_title,task_167_desc
168,normal,resource_amount,,,157,,,,,,0,801800,467800,0,0,,,task_168_title,task_168_desc
169,normal,building_level,hallofstone,6,,,,,,,0,0,467800,0,510300,,,task_169_title,task_169_desc
170,normal,hero_level,,36,,,,,,,0,801800,0,0,510300,,,task_170_title,task_170_desc
171,special,resource_level,,8,,,,,1,,14286,0,0,0,0,,,task_171_title,task_171_desc
172,normal,hero_amount,,,25,,,,,,0,0,0,801800,510300,,,task_172_title,task_172_desc
173,normal,stronghold_amount,,,11,,,,,,14286,0,0,0,0,,,task_173_title,task_173_desc
174,normal,recruit_amount,,,520000,,,,,,14286,0,0,0,0,,,task_174_title,task_174_desc
175,normal,resource_level,,8,,,,,3,,14286,0,0,0,0,,,task_175_title,task_175_desc
176,special,resource_produce,food,,,,,39329,,,14286,0,0,0,0,,,task_176_title,task_176_desc
177,normal,building_level,storage,8,,,,,,,0,0,467800,0,510300,,,task_177_title,task_177_desc
178,normal,hero_amount,,,26,,,,,,0,0,0,801800,510300,,,task_178_title,task_178_desc
179,normal,attack_npccity,,,,,,,78,,14286,0,0,0,0,,,task_179_title,task_179_desc
180,normal,gold_totalamount,,,500000,,,,,,0,801800,467800,0,0,,,task_180_title,task_180_desc
181,normal,stronghold_amount,,,12,,,,,,14286,0,0,0,0,,,task_181_title,task_181_desc
182,normal,attack_pass,,,,,,,39,,14286,801800,0,801800,0,,,task_182_title,task_182_desc
183,special,hero_amount,,,27,,,,,,0,0,0,801800,510300,,,task_183_title,task_183_desc
184,normal,pvp_times,,,,,,,3,,0,0,467800,801800,510300,,,task_184_title,task_184_desc
185,normal,get_tribute_times,,,,,,,4,,0,0,467800,0,510300,,,task_185_title,task_185_desc
186,normal,battle_win,,,,,,,10,,14286,0,467800,801800,0,,,task_186_title,task_186_desc
187,normal,force,,,,,640,,,,0,801800,0,0,0,,,task_187_title,task_187_desc
188,normal,resource_produce,marble,,,,,62925,,,14286,0,0,0,0,,,task_188_title,task_188_desc
189,normal,gold_totalamount,,,1000000,,,,,,0,801800,467800,0,0,,,task_189_title,task_189_desc
190,normal,attack_npccity,,,,,,,90,,14286,0,0,0,0,,,task_190_title,task_190_desc
191,normal,attack_pass,,,,,,,45,,14286,801800,0,801800,0,,,task_191_title,task_191_desc
192,special,pvp_times,,,,,,,5,,0,0,467800,801800,510300,,,task_192_title,task_192_desc
193,normal,building_level,townhall,9,,,,,,,0,0,467800,0,510300,,,task_193_title,task_193_desc
194,special,building_level,armycamp,9,,,,,,,0,0,656200,0,715900,,,task_194_title,task_194_desc
195,normal,resource_level,,8,,,,,5,,34286,0,0,0,0,,,task_195_title,task_195_desc
196,normal,building_level,tavern,9,,,,,,,0,0,656200,0,715900,,,task_196_title,task_196_desc
197,normal,battle_win,,,,,,,5,,34286,0,656200,1574800,0,,,task_197_title,task_197_desc
198,normal,get_tribute_times,,,,,,,1,,0,0,656200,0,715900,,,task_198_title,task_198_desc
199,normal,building_level,templeofthewoods,8,,,,,,,0,0,656200,0,715900,,,task_199_title,task_199_desc
200,normal,recruit,,,,,,,30,,0,0,656200,1574800,715900,,,task_200_title,task_200_desc
