id,type,x,y,level,state
"0,0,301,338",0,301,338,8,"10,10,7,0"
"0,0,301,457",0,301,457,8,"9,9,8,0"
"0,0,311,700",0,311,700,8,"0,1,0,9"
"0,0,347,800",0,347,800,6,"0,2,0,1"
"0,0,358,200",0,358,200,6,"0,7,6,6"
"6,5,392,189",1,392,189,4,"6,0,6,0"
"7,5,390,245",1,390,245,4,"7,0,7,0"
"7,5,393,220",1,393,220,4,"7,0,7,0"
"7,5,383,267",1,383,267,4,"7,0,7,0"
"7,5,390,291",1,390,291,4,"7,0,7,0"
"0,0,400,744",0,400,744,6,"2,1,1,0"
"6,4,437,138",1,437,138,4,"0,6,0,6"
"6,4,403,172",1,403,172,4,"0,6,0,6"
"6,4,424,159",1,424,159,4,"0,6,0,6"
"0,0,401,250",0,401,250,8,"10,0,7,0"
"10,7,428,294",1,428,294,4,"0,10,0,10"
"11,4,434,477",1,434,477,4,"0,11,0,11"
"11,4,440,456",1,440,456,4,"11,0,11,0"
"11,1,425,505",1,425,505,4,"11,0,11,0"
"11,1,433,534",1,433,534,4,"11,0,11,0"
"11,1,429,554",1,429,554,4,"11,0,11,0"
"11,1,436,578",1,436,578,4,"11,0,11,0"
"9,5,445,612",1,445,612,4,"0,9,0,9"
"2,2,441,819",1,441,819,4,"2,0,2,0"
"2,2,418,880",1,418,880,4,"2,0,2,0"
"2,2,435,851",1,435,851,4,"2,0,2,0"
"2,8,424,916",1,424,916,4,"2,0,2,0"
"6,7,464,94",1,464,94,4,"0,6,0,6"
"6,7,491,84",1,491,84,4,"0,6,0,6"
"6,4,453,119",1,453,119,4,"6,0,6,0"
"0,0,453,201",0,453,201,8,"0,10,10,6"
"10,7,464,284",1,464,284,4,"0,10,0,10"
"10,7,489,275",1,489,275,4,"0,10,0,10"
"10,7,497,295",1,497,295,4,"10,0,10,0"
"10,6,497,317",1,497,317,4,"10,0,10,0"
"10,6,499,342",1,499,342,4,"10,0,10,0"
"10,6,486,392",1,486,392,4,"0,10,0,10"
"10,6,500,360",1,500,360,4,"0,10,0,10"
"11,4,455,429",1,455,429,4,"0,11,0,11"
"11,4,472,410",1,472,410,4,"11,0,11,0"
"0,0,452,600",0,452,600,11,"0,9,11,11"
"9,5,479,625",1,479,625,4,"0,9,0,9"
"0,0,469,700",0,469,700,8,"0,2,0,9"
"2,3,458,784",1,458,784,4,"2,0,2,0"
"2,3,483,756",1,483,756,4,"0,2,0,2"
"2,8,461,957",1,461,957,4,"2,0,2,0"
"2,8,493,983",1,493,983,4,"2,0,2,0"
"6,8,523,75",1,523,75,4,"0,6,0,6"
"9,6,506,635",1,506,635,4,"0,9,0,9"
"9,6,530,684",1,530,684,4,"0,9,0,9"
