"name	",path,type
hero_551,hero_301,1
hero_552,hero_301,1
hero_553,hero_306,1
hero_554,hero_301,1
hero_555,hero_301,1
hero_556,hero_306,1
hero_557,hero_301,1
hero_558,hero_301,1
hero_559,hero_306,1
hero_560,hero_301,1
hero_561,hero_301,1
hero_562,hero_306,1
hero_563,hero_301,1
hero_564,hero_301,1
hero_565,hero_306,1
hero_566,hero_301,1
hero_567,hero_301,1
hero_568,hero_306,1
hero_569,hero_301,1
hero_570,hero_301,1
hero_571,hero_306,1
hero_572,hero_301,1
hero_573,hero_301,1
hero_574,hero_306,1
hero_575,hero_301,1
hero_576,hero_301,1
hero_577,hero_306,1
hero_578,hero_301,1
hero_579,hero_301,1
hero_580,hero_306,1
hero_581,hero_301,1
hero_582,hero_301,1
hero_583,hero_306,1
hero_584,hero_301,1
hero_585,hero_301,1
hero_586,hero_306,1
hero_587,hero_301,1
hero_588,hero_301,1
hero_589,hero_306,1
hero_590,hero_301,1
hero_591,hero_301,1
hero_592,hero_306,1
hero_593,hero_301,1
hero_594,hero_301,1
hero_595,hero_306,1
hero_596,hero_301,1
hero_597,hero_301,1
hero_598,hero_306,1
hero_599,hero_301,1
hero_600,hero_301,1
