rarity,level,level_up_percent,fragments,level_gold
4,1,0,1,2700
4,2,7.2,2,3000
4,3,14.4,2,3300
4,4,21.6,2,3600
4,5,28.8,4,4200
4,6,38.8,4,4800
4,7,48.8,4,5400
4,8,58.8,4,6000
4,9,68.8,4,6750
4,10,78.8,10,7500
4,11,96.8,10,8250
4,12,114.8,10,9000
4,13,132.8,10,9750
4,14,150.8,10,10500
4,15,168.8,20,12000
4,16,188.8,20,13500
4,17,208.8,20,15000
4,18,228.8,20,16500
4,19,248.8,20,18000
4,20,268.8,50,22500
4,21,292.8,50,27000
4,22,316.8,50,30000
4,23,340.8,50,36000
4,24,364.8,50,45000
4,25,388.8,100,60000
4,26,416.8,100,75000
4,27,444.8,100,90000
4,28,472.8,100,105000
4,29,500.8,100,120000
4,30,528.8,200,150000
4,31,568.8,200,300000
4,32,608.8,200,450000
4,33,648.8,200,600000
4,34,688.8,200,750000
4,35,728.8,400,900000
4,36,768.8,400,1050000
4,37,808.8,400,1200000
4,38,848.8,400,1350000
4,39,888.8,400,1500000
4,40,928.8,800,1650000
4,41,968.8,800,1800000
4,42,1008.8,800,1950000
4,43,1048.8,800,2100000
4,44,1088.8,800,2250000
4,45,1128.8,0,0
5,1,0,1,3600
5,2,20,2,4000
5,3,40,2,4400
5,4,60,2,4800
5,5,80,4,5600
