rarity,level,level_up_percent,fragments,level_gold
3,11,28.8,10,800
3,12,35.2,10,1000
3,13,41.6,10,1200
3,14,48,10,1400
3,15,54.4,20,1600
3,16,61.6,20,1800
3,17,68.8,20,2000
3,18,76,20,2200
3,19,83.2,20,2400
3,20,90.4,50,2800
3,21,100.4,50,3200
3,22,110.4,50,3600
3,23,120.4,50,4000
3,24,130.4,50,4500
3,25,140.4,100,5000
3,26,158.4,100,5500
3,27,176.4,100,6000
3,28,194.4,100,6500
3,29,212.4,100,7000
3,30,230.4,200,8000
3,31,250.4,200,9000
3,32,270.4,200,10000
3,33,290.4,200,11000
3,34,310.4,200,12000
3,35,330.4,400,15000
3,36,354.4,400,18000
3,37,378.4,400,20000
3,38,402.4,400,24000
3,39,426.4,400,30000
3,40,450.4,800,40000
3,41,478.4,800,50000
3,42,506.4,800,60000
3,43,534.4,800,70000
3,44,562.4,800,80000
3,45,590.4,1000,100000
3,46,630.4,1000,200000
3,47,670.4,1000,300000
3,48,710.4,1000,400000
3,49,750.4,1000,500000
3,50,790.4,2000,600000
3,51,830.4,2000,700000
3,52,870.4,2000,800000
3,53,910.4,2000,900000
3,54,950.4,2000,1000000
3,55,990.4,5000,1100000
3,56,1030.4,5000,1200000
3,57,1070.4,5000,1300000
3,58,1110.4,5000,1400000
3,59,1150.4,5000,1500000
3,60,1190.4,0,0
