hero,animation,function,time
hero_501,attack,ActionEnd,1.3
hero_501,attack,AudioPlay,0.4
hero_501,attack,ActionPlay,0.3
hero_501,skill,AudioPlay,0.4
hero_501,skill,ActionPlay,0.5
hero_501,victor,ActionPlay,0.2
hero_501,failed,ActionPlay,0.2
hero_501,failed,ActionEnd,0.2
hero_502,attack,ActionEnd,1.3
hero_502,attack,AudioPlay,0.4
hero_502,attack,ActionPlay,0.3
hero_502,skill,AudioPlay,0.4
hero_502,skill,ActionPlay,0.5
hero_502,victor,ActionPlay,0.2
hero_502,failed,ActionPlay,0.2
hero_502,failed,ActionEnd,0.2
hero_503,attack,ActionEnd,1.3
hero_503,attack,AudioPlay,0.4
hero_503,attack,ActionPlay,0.3
hero_503,skill,AudioPlay,0.4
hero_503,skill,ActionPlay,0.5
hero_503,victor,ActionPlay,0.2
hero_503,failed,ActionPlay,0.2
hero_503,failed,ActionEnd,0.2
hero_504,attack,ActionEnd,1.3
hero_504,attack,AudioPlay,0.4
hero_504,attack,ActionPlay,0.3
hero_504,skill,AudioPlay,0.4
hero_504,skill,ActionPlay,0.5
hero_504,victor,ActionPlay,0.2
hero_504,failed,ActionPlay,0.2
hero_504,failed,ActionEnd,0.2
hero_505,attack,ActionEnd,1.3
hero_505,attack,AudioPlay,0.4
hero_505,attack,ActionPlay,0.3
hero_505,skill,AudioPlay,0.4
hero_505,skill,ActionPlay,0.5
hero_505,victor,ActionPlay,0.2
hero_505,failed,ActionPlay,0.2
hero_505,failed,ActionEnd,0.2
hero_506,attack,ActionEnd,1
hero_506,attack,AudioPlay,0.33
hero_506,attack,ActionPlay,0.3
hero_506,skill,AudioPlay,0.44
hero_506,skill,ActionPlay,0.67
hero_506,victor,ActionPlay,0.2
hero_506,failed,ActionPlay,0.2
hero_506,failed,ActionEnd,0.2
hero_507,attack,ActionEnd,1.3
hero_507,attack,AudioPlay,0.4
