name,force,interval,gem,gold,lumber,marble,steel,food,crystal
tribute_201,4495,3,0,8,49500,9900,9900,9900,0
tribute_202,4495,3,0,8,9900,49500,9900,9900,0
tribute_203,4495,3,0,8,9900,9900,49500,9900,0
tribute_204,4495,3,0,8,9900,9900,9900,19800,0
tribute_205,4495,3,0,8,49500,9900,9900,9900,0
tribute_206,4495,3,0,8,9900,49500,9900,9900,0
tribute_207,4495,3,0,8,9900,9900,49500,9900,0
tribute_208,4495,3,0,8,9900,9900,9900,19800,0
tribute_209,4495,3,0,8,49500,9900,9900,9900,0
tribute_210,4495,3,0,8,9900,49500,9900,9900,0
tribute_211,4495,3,0,8,9900,9900,49500,9900,0
tribute_212,4495,3,0,8,9900,9900,9900,19800,0
tribute_213,4495,3,0,8,49500,9900,9900,9900,0
tribute_214,4495,3,0,8,9900,49500,9900,9900,0
tribute_215,4495,3,0,8,9900,9900,49500,9900,0
tribute_216,4495,3,0,8,9900,9900,9900,19800,0
tribute_217,11255,3,0,10,75000,15000,15000,15000,0
tribute_218,11255,3,0,10,15000,75000,15000,15000,0
tribute_219,11255,3,0,10,15000,15000,75000,15000,0
tribute_220,11255,3,0,10,15000,15000,15000,30000,0
tribute_221,11255,3,0,10,75000,15000,15000,15000,0
tribute_222,11255,3,0,10,15000,75000,15000,15000,0
tribute_223,11255,3,0,10,15000,15000,75000,15000,0
tribute_224,11255,3,0,10,15000,15000,15000,30000,0
tribute_225,11255,3,0,10,75000,15000,15000,15000,0
tribute_226,11255,3,0,10,15000,75000,15000,15000,0
tribute_227,11255,3,0,10,15000,15000,75000,15000,0
tribute_228,11255,3,0,10,15000,15000,15000,30000,0
tribute_229,11255,3,0,10,75000,15000,15000,15000,0
tribute_230,11255,3,0,10,15000,75000,15000,15000,0
tribute_231,11255,3,0,10,15000,15000,75000,15000,0
tribute_232,11255,3,0,10,15000,15000,15000,30000,0
tribute_233,11255,3,0,10,75000,15000,15000,15000,0
tribute_234,11255,3,0,10,15000,75000,15000,15000,0
tribute_235,11255,3,0,10,15000,15000,75000,15000,0
tribute_236,11255,3,0,10,15000,15000,15000,30000,0
tribute_237,11255,3,0,10,75000,15000,15000,15000,0
tribute_238,11255,3,0,10,15000,75000,15000,15000,0
tribute_239,11255,3,0,10,15000,15000,75000,15000,0
tribute_240,11255,3,0,10,15000,15000,15000,30000,0
tribute_241,11255,3,0,10,75000,15000,15000,15000,0
tribute_242,11255,3,0,10,15000,75000,15000,15000,0
tribute_243,11255,3,0,10,15000,15000,75000,15000,0
tribute_244,11255,3,0,10,15000,15000,15000,30000,0
tribute_245,11255,3,0,10,75000,15000,15000,15000,0
tribute_246,11255,3,0,10,15000,75000,15000,15000,0
tribute_247,11255,3,0,10,15000,15000,75000,15000,0
tribute_248,11255,3,0,10,15000,15000,15000,30000,0
tribute_249,11255,3,0,10,75000,15000,15000,15000,0
tribute_250,11255,3,0,10,15000,75000,15000,15000,0
