skill_id,audio_skill_cast,audio_skill_hit,audio_skill_move
hero_551_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_552_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_553_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_554_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_555_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_556_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_557_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_558_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_559_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_560_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_561_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_562_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_563_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_564_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_565_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_566_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_567_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_568_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_569_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_570_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_571_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_572_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_573_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_574_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_575_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_576_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_577_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_578_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_579_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_580_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_581_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_582_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_583_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_584_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_585_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_586_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_587_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_588_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_589_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_590_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_591_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_592_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_593_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_594_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_595_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_596_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_597_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_598_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_599_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_600_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
