hero,animation,function,time
hero_613,skill,ActionPlay,0.5
hero_613,victor,ActionPlay,0.2
hero_613,failed,ActionPlay,0.2
hero_613,failed,ActionEnd,0.2
hero_614,attack,ActionEnd,1.3
hero_614,attack,AudioPlay,0.4
hero_614,attack,ActionPlay,0.3
hero_614,skill,AudioPlay,0.4
hero_614,skill,ActionPlay,0.5
hero_614,victor,ActionPlay,0.2
hero_614,failed,ActionPlay,0.2
hero_614,failed,ActionEnd,0.2
hero_615,attack,ActionEnd,1.3
hero_615,attack,AudioPlay,0.4
hero_615,attack,ActionPlay,0.3
hero_615,skill,AudioPlay,0.4
hero_615,skill,ActionPlay,0.5
hero_615,victor,ActionPlay,0.2
hero_615,failed,ActionPlay,0.2
hero_615,failed,ActionEnd,0.2
hero_616,attack,ActionEnd,1.3
hero_616,attack,AudioPlay,0.4
hero_616,attack,ActionPlay,0.3
hero_616,skill,AudioPlay,0.4
hero_616,skill,ActionPlay,0.5
hero_616,victor,ActionPlay,0.2
hero_616,failed,ActionPlay,0.2
hero_616,failed,ActionEnd,0.2
hero_617,attack,ActionEnd,1.3
hero_617,attack,AudioPlay,0.4
hero_617,attack,ActionPlay,0.3
hero_617,skill,AudioPlay,0.4
hero_617,skill,ActionPlay,0.5
hero_617,victor,ActionPlay,0.2
hero_617,failed,ActionPlay,0.2
hero_617,failed,ActionEnd,0.2
hero_618,attack,ActionEnd,1.3
hero_618,attack,AudioPlay,0.4
hero_618,attack,ActionPlay,0.3
hero_618,skill,AudioPlay,0.4
hero_618,skill,ActionPlay,0.5
hero_618,victor,ActionPlay,0.2
hero_618,failed,ActionPlay,0.2
hero_618,failed,ActionEnd,0.2
hero_619,attack,ActionEnd,1.3
hero_619,attack,AudioPlay,0.4
hero_619,attack,ActionPlay,0.3
hero_619,skill,AudioPlay,0.4
hero_619,skill,ActionPlay,0.5
hero_619,victor,ActionPlay,0.2
