default_skill,{0},{1},{2},{3},{4},{5},{6},{7}
default_hero_501_skill_1,100,0,1431,0,480,576,0,30
default_hero_502_skill_1,100,0,576,0,150,0,3,0
default_hero_503_skill_1,100,0,210,0,105,0,0,0
default_hero_504_skill_1,100,0,210,0,105,0,0,0
default_hero_505_skill_1,100,0,93,0,300,0,0,0
default_hero_506_skill_1,100,0,93,0,300,0,0,0
default_hero_507_skill_1,100,0,93,0,300,0,0,0
default_hero_508_skill_1,25,0,447,0,300,0,3,0
default_hero_509_skill_1,33,50,56,3,37.5,30,3,0
default_hero_510_skill_1,25,0,90,3,60,0,0,0
default_hero_511_skill_1,45,0,224,0,150,42,4,37.5
default_hero_512_skill_1,70,0,179,0,120,0,0,0
default_hero_513_skill_1,90,0,15,3,1.5,10,3,9
default_hero_514_skill_1,25,0,67,3,34.5,0,3,0
default_hero_515_skill_1,33,0,72,3,7.5,0,3,0
default_hero_516_skill_1,100,0,15,0,1.5,30,0,0
default_hero_517_skill_1,75,0,72,0,37.5,0,0,0
default_hero_518_skill_1,70,0,188,0,19.5,0,0,0
default_hero_519_skill_1,80,0,231,0,24,0,3,0
default_hero_520_skill_1,33,0,459,0,180,0,0,0
default_hero_521_skill_1,50,0,0,2,0,0,0,0
default_hero_522_skill_1,25,0,306,0,120,0,0,0
default_hero_523_skill_1,90,0,306,0,120,0,3,0
default_hero_524_skill_1,25,0,0,3,0,0,0,0
default_hero_525_skill_1,100,0,31,0,12,4,2,1.5
default_hero_526_skill_1,100,0,0,0,0,0,0,0
default_hero_526_skill_2,100,0,47,100,15,0,0,0
default_hero_526_skill_3,100,0,93,0,30,0,2,0
default_hero_526_skill_4,100,50,0,2,0,0,0,0
default_hero_527_skill_1,100,0,1,100,30,0,0,0
default_hero_528_skill_1,100,0,1,100,30,0,0,0
default_hero_529_skill_1,100,0,0,0,0,0,0,0
default_hero_529_skill_2,100,0,44,100,12,0,0,0
default_hero_529_skill_3,100,0,88,0,24,0,2,0
default_hero_529_skill_4,100,50,0,2,0,0,0,0
default_hero_530_skill_1,100,0,1,100,9.9,0,0,0
default_hero_531_skill_1,100,0,1,100,9.9,0,0,0
default_hero_532_skill_1,100,0,0,0,0,0,0,0
default_hero_532_skill_2,100,0,5,100,0.9,0,0,0
default_hero_532_skill_3,100,0,90,0,19.5,0,2,0
default_hero_532_skill_4,100,50,0,2,0,0,0,0
default_hero_533_skill_1,100,0,1,100,11.25,0,0,0
default_hero_534_skill_1,100,0,1,100,11.25,0,0,0
default_hero_535_skill_1,100,0,0,0,0,0,0,0
default_hero_535_skill_2,100,0,42,100,13.5,0,0,0
default_hero_535_skill_3,100,0,93,0,30,0,2,0
default_hero_535_skill_4,100,50,0,2,0,0,0,0
default_hero_536_skill_1,100,0,1,100,30,0,0,0
default_hero_537_skill_1,100,0,1,100,30,0,0,0
default_hero_538_skill_1,100,0,0,0,0,0,0,0
