hero,animation,function,time
hero_211,attack,ActionPlay,0.3
hero_211,skill,AudioPlay,0.4
hero_211,skill,ActionPlay,0.5
hero_211,victor,ActionPlay,0.2
hero_211,failed,ActionPlay,0.2
hero_211,failed,ActionEnd,0.2
hero_209,attack,ActionEnd,1.3
hero_209,attack,AudioPlay,0.4
hero_209,attack,ActionPlay,0.3
hero_209,skill,AudioPlay,0.4
hero_209,skill,ActionPlay,0.5
hero_209,victor,ActionPlay,0.2
hero_209,failed,ActionPlay,0.2
hero_209,failed,ActionEnd,0.2
hero_201,attack,ActionEnd,1.3
hero_201,attack,AudioPlay,0.4
hero_201,attack,ActionPlay,0.3
hero_201,skill,AudioPlay,0.4
hero_201,skill,ActionPlay,0.5
hero_201,victor,ActionPlay,0.2
hero_201,failed,ActionPlay,0.2
hero_201,failed,ActionEnd,0.2
hero_205,attack,ActionEnd,1.3
hero_205,attack,AudioPlay,0.4
hero_205,attack,ActionPlay,0.3
hero_205,skill,AudioPlay,0.4
hero_205,skill,ActionPlay,0.5
hero_205,victor,ActionPlay,0.2
hero_205,failed,ActionPlay,0.2
hero_205,failed,ActionEnd,0.2
hero_212,attack,ActionEnd,1
hero_212,attack,AudioPlay,0.33
hero_212,attack,ActionPlay,0.3
hero_212,skill,AudioPlay,0.44
hero_212,skill,ActionPlay,0.67
hero_212,victor,ActionPlay,0.2
hero_212,failed,ActionPlay,0.2
hero_212,failed,ActionEnd,0.2
hero_103,attack,ActionEnd,1.3
hero_103,attack,AudioPlay,0.4
hero_103,attack,ActionPlay,0.3
hero_103,skill,AudioPlay,0.4
hero_103,skill,ActionPlay,0.5
hero_103,victor,ActionPlay,0.2
hero_103,failed,ActionPlay,0.2
hero_103,failed,ActionEnd,0.2
hero_106,attack,ActionEnd,1.3
hero_106,attack,AudioPlay,0.4
hero_106,attack,ActionPlay,0.3
hero_106,skill,AudioPlay,0.4
