hero,point,root,x,y,z
hero_203,skill_hit.foot,,0,0,0
hero_203,health,,0,0,0
hero_203,friend,,0,0,0
hero_203,enemy,,0,0,0
hero_203,cast,Hmale02,0,0,0
hero_203,fly,,0,0,0
hero_203,idle,,0,0,0
hero_203,lose,,0,0,0
hero_203,win,,0,0,0
hero_203,move,,0,0,0
hero_210,skill_last.head,,0,1.9,-0.2
hero_210,skill_last.body,,0,0.7,-0.2
hero_210,skill_last.foot,,0,0,-0.2
hero_210,skill_hit.head,,0,1.9,0
hero_210,skill_hit.body,,0,0.7,0
hero_210,skill_hit.foot,,0,0,0
hero_210,health,,0,0,0
hero_210,friend,,0,0,0
hero_210,enemy,,0,0,0
hero_210,cast,Hmale02,0,0,0
hero_210,fly,,0,0,0
hero_210,idle,,0,0,0
hero_210,lose,,0,0,0
hero_210,win,,0,0,0
hero_210,move,,0,0,0
hero_109,skill_last.head,,0,1.9,-0.2
hero_109,skill_last.body,,0,0.7,-0.2
hero_109,skill_last.foot,,0,0,-0.2
hero_109,skill_hit.head,,0,1.9,0
hero_109,skill_hit.body,,0,0.7,0
hero_109,skill_hit.foot,,0,0,0
hero_109,health,,0,0,0
hero_109,friend,,0,0,0
hero_109,enemy,,0,0,0
hero_109,cast,Hmale02,0,0,0
hero_109,fly,,0,0,0
hero_109,idle,,0,0,0
hero_109,lose,,0,0,0
hero_109,win,,0,0,0
hero_109,move,,0,0,0
hero_202,skill_last.head,,0,1.9,-0.2
hero_202,skill_last.body,,0,0.7,-0.2
hero_202,skill_last.foot,,0,0,-0.2
hero_202,skill_hit.head,,0,1.9,0
hero_202,skill_hit.body,,0,0.7,0
hero_202,skill_hit.foot,,0,0,0
hero_202,health,,0,0,0
hero_202,friend,,0,0,0
hero_202,enemy,,0,0,0
hero_202,cast,Hmale02,0,0,0
