id,category,type,name,level,amount,tier,force,produce,times,gem,gold,food,lumber,marble,steel,crystal,hero_fragments,locale_title,locale_desc
101,normal,hero_amount,,,16,,,,,,0,0,0,170600,108600,,,task_101_title,task_101_desc
102,normal,stronghold_amount,,,7,,,,,,2286,0,0,0,0,,,task_102_title,task_102_desc
103,normal,recruit_amount,,,120000,,,,,,2286,0,0,0,0,,,task_103_title,task_103_desc
104,normal,resource_level,,6,,,,,3,,2286,0,0,0,0,,,task_104_title,task_104_desc
105,special,resource_produce,marble,,,,,19650,,,2286,0,0,0,0,,,task_105_title,task_105_desc
106,normal,building_level,storage,6,,,,,,,0,0,99500,0,108600,,,task_106_title,task_106_desc
107,normal,hero_amount,,,17,,,,,,0,0,0,170600,108600,,,task_107_title,task_107_desc
108,normal,attack_npccity,,,,,,,38,,2286,0,0,0,0,,,task_108_title,task_108_desc
109,normal,gold_totalamount,,,80000,,,,,,0,170600,99500,0,0,,,task_109_title,task_109_desc
110,normal,stronghold_amount,,,8,,,,,,2286,0,0,0,0,,,task_110_title,task_110_desc
111,normal,attack_pass,,,,,,,19,,2286,170600,0,170600,0,,,task_111_title,task_111_desc
112,special,hero_amount,,,18,,,,,,0,0,0,170600,108600,,,task_112_title,task_112_desc
113,normal,pvp_times,,,,,,,3,,0,0,99500,170600,108600,,,task_113_title,task_113_desc
114,normal,get_tribute_times,,,,,,,3,,0,0,99500,0,108600,,,task_114_title,task_114_desc
115,normal,battle_win,,,,,,,10,,2286,0,99500,170600,0,,,task_115_title,task_115_desc
116,normal,force,,,,,160,,,,0,170600,0,0,0,,,task_116_title,task_116_desc
117,normal,resource_produce,food,,,,,31440,,,2286,0,0,0,0,,,task_117_title,task_117_desc
118,normal,gold_totalamount,,,160000,,,,,,0,170600,99500,0,0,,,task_118_title,task_118_desc
119,normal,attack_npccity,,,,,,,45,,2286,0,0,0,0,,,task_119_title,task_119_desc
120,normal,attack_pass,,,,,,,23,,2286,170600,0,170600,0,,,task_120_title,task_120_desc
121,special,pvp_times,,,,,,,5,,0,0,99500,170600,108600,,,task_121_title,task_121_desc
122,normal,building_level,townhall,7,,,,,,,0,0,99500,0,108600,,,task_122_title,task_122_desc
123,special,building_level,armycamp,7,,,,,,,0,0,192400,0,209900,,,task_123_title,task_123_desc
124,normal,resource_level,,6,,,,,5,,5715,0,0,0,0,,,task_124_title,task_124_desc
125,normal,building_level,tavern,7,,,,,,,0,0,192400,0,209900,,,task_125_title,task_125_desc
126,normal,battle_win,,,,,,,5,,5715,0,192400,461600,0,,,task_126_title,task_126_desc
127,normal,get_tribute_times,,,,,,,1,,0,0,192400,0,209900,,,task_127_title,task_127_desc
128,normal,building_level,templeofthewoods,6,,,,,,,0,0,192400,0,209900,,,task_128_title,task_128_desc
129,normal,recruit,,,,,,,20,,0,0,192400,461600,209900,,,task_129_title,task_129_desc
130,normal,resource_amount,,,131,,,,,,0,461600,192400,0,0,,,task_130_title,task_130_desc
131,normal,building_level,hallofstone,5,,,,,,,0,0,192400,0,209900,,,task_131_title,task_131_desc
132,normal,hero_level,,31,,,,,,,0,461600,0,0,209900,,,task_132_title,task_132_desc
133,special,resource_level,,7,,,,,1,,5715,0,0,0,0,,,task_133_title,task_133_desc
134,normal,recruit,,,,,,,21,,0,0,192400,461600,209900,,,task_134_title,task_134_desc
135,normal,hero_amount,,,20,,,,,,0,0,0,461600,209900,,,task_135_title,task_135_desc
136,normal,pvp_times,,,,,,,3,,0,0,192400,461600,209900,,,task_136_title,task_136_desc
137,normal,stronghold_amount,,,9,,,,,,5715,0,0,0,0,,,task_137_title,task_137_desc
138,normal,recruit_amount,,,130000,,,,,,5715,0,0,0,0,,,task_138_title,task_138_desc
139,normal,resource_level,,7,,,,,3,,5715,0,0,0,0,,,task_139_title,task_139_desc
140,special,resource_produce,steel,,,,,29663,,,5715,0,0,0,0,,,task_140_title,task_140_desc
141,normal,building_level,storage,7,,,,,,,0,0,192400,0,209900,,,task_141_title,task_141_desc
142,normal,hero_amount,,,21,,,,,,0,0,0,461600,209900,,,task_142_title,task_142_desc
143,normal,attack_npccity,,,,,,,55,,5715,0,0,0,0,,,task_143_title,task_143_desc
144,normal,gold_totalamount,,,200000,,,,,,0,461600,192400,0,0,,,task_144_title,task_144_desc
145,normal,stronghold_amount,,,10,,,,,,5715,0,0,0,0,,,task_145_title,task_145_desc
146,normal,attack_pass,,,,,,,28,,5715,461600,0,461600,0,,,task_146_title,task_146_desc
147,special,hero_amount,,,22,,,,,,0,0,0,461600,209900,,,task_147_title,task_147_desc
148,normal,get_tribute_times,,,,,,,4,,0,0,192400,0,209900,,,task_148_title,task_148_desc
149,normal,battle_win,,,,,,,10,,5715,0,192400,461600,0,,,task_149_title,task_149_desc
150,normal,force,,,,,320,,,,0,461600,0,0,0,,,task_150_title,task_150_desc
