hero,index,step,end_delay,target
hero_109,attack_1_1,move,0.2,head
hero_109,attack_1_1,hit,0.2,foot
hero_202,attack_1_1,move,0.2,head
hero_202,attack_1_1,hit,0.2,foot
hero_010,attack_1_1,fly,0.2,head
hero_010,attack_1_1,hit,0.2,foot
hero_207,attack_1_1,fly,0.2,head
hero_207,attack_1_1,hit,0.2,foot
hero_007,attack_1_1,fly,0.2,head
hero_007,attack_1_1,hit,0.2,foot
hero_208,attack_1_1,fly,0.2,head
hero_208,attack_1_1,hit,0.2,foot
hero_112,attack_1_1,fly,0.2,head
hero_112,attack_1_1,hit,0.2,foot
hero_006,attack_1_1,fly,0.2,head
hero_006,attack_1_1,hit,0.2,foot
hero_102,attack_1_1,fly,0.2,head
hero_102,attack_1_1,hit,0.2,foot
hero_005,attack_1_1,fly,0.2,head
hero_005,attack_1_1,hit,0.2,foot
hero_107,attack_1_1,move,0.2,head
hero_107,attack_1_1,hit,0.2,foot
hero_303,attack_1_1,move,0.2,head
hero_303,attack_1_1,hit,0.2,foot
hero_301,attack_1_1,move,0.2,head
hero_301,attack_1_1,hit,0.2,foot
hero_302,attack_1_1,fly,0.2,head
hero_302,attack_1_1,hit,0.2,foot
hero_306,attack_1_1,fly,0.2,head
hero_306,attack_1_1,hit,0.2,foot
hero_305,attack_1_1,fly,0.2,head
hero_305,attack_1_1,hit,0.2,foot
hero_307,attack_1_1,fly,0.2,head
hero_307,attack_1_1,hit,0.2,foot
hero_403,attack_1_1,fly,0.2,head
hero_403,attack_1_1,hit,0.2,foot
hero_405,attack_1_1,fly,0.2,head
hero_405,attack_1_1,hit,0.2,foot
hero_406,attack_1_1,fly,0.2,head
hero_406,attack_1_1,hit,0.2,foot
hero_402,attack_1_1,fly,0.2,head
hero_402,attack_1_1,hit,0.2,foot
hero_401,attack_1_1,move,0.2,head
hero_401,attack_1_1,hit,0.2,foot
hero_404,attack_1_1,move,0.2,head
hero_404,attack_1_1,hit,0.2,foot
hero_304,attack_1_1,move,0.2,head
hero_304,attack_1_1,hit,0.2,foot
hero_407,attack_1_1,move,0.2,head
hero_407,attack_1_1,hit,0.2,foot
