hero,point,root,x,y,z
hero_631,skill_last.head,,0,1.9,-0.2
hero_631,skill_last.body,,0,0.7,-0.2
hero_631,skill_last.foot,,0,0,-0.2
hero_631,skill_hit.head,,0,1.9,0
hero_631,skill_hit.body,,0,0.7,0
hero_631,skill_hit.foot,,0,0,0
hero_631,health,,0,0,0
hero_631,friend,,0,0,0
hero_631,enemy,,0,0,0
hero_631,cast,Hmale02,0,0,0
hero_631,fly,,0,0,0
hero_631,idle,,0,0,0
hero_631,lose,,0,0,0
hero_631,win,,0,0,0
hero_631,move,,0,0,0
hero_632,skill_last.head,,0,1.9,-0.2
hero_632,skill_last.body,,0,0.7,-0.2
hero_632,skill_last.foot,,0,0,-0.2
hero_632,skill_hit.head,,0,1.9,0
hero_632,skill_hit.body,,0,0.7,0
hero_632,skill_hit.foot,,0,0,0
hero_632,health,,0,0,0
hero_632,friend,,0,0,0
hero_632,enemy,,0,0,0
hero_632,cast,Hmale02,0,0,0
hero_632,fly,,0,0,0
hero_632,idle,,0,0,0
hero_632,lose,,0,0,0
hero_632,win,,0,0,0
hero_632,move,,0,0,0
hero_633,skill_last.head,,0,1.9,-0.2
hero_633,skill_last.body,,0,0.7,-0.2
hero_633,skill_last.foot,,0,0,-0.2
hero_633,skill_hit.head,,0,1.9,0
hero_633,skill_hit.body,,0,0.7,0
hero_633,skill_hit.foot,,0,0,0
hero_633,health,,0,0,0
hero_633,friend,,0,0,0
hero_633,enemy,,0,0,0
hero_633,cast,Hmale02,0,0,0
hero_633,fly,,0,0,0
hero_633,idle,,0,0,0
hero_633,lose,,0,0,0
hero_633,win,,0,0,0
hero_633,move,,0,0,0
