default_skill,{0},{1},{2},{3},{4},{5},{6},{7}
default_hero_583_skill_1,100,0,0,0,0,0,0,0
default_hero_583_skill_2,100,0,325,100,12,0,0,0
default_hero_583_skill_3,100,0,0,1,0,0,0,0
default_hero_583_skill_4,100,70,641,3,60,0,0,0
default_hero_583_skill_5,100,50,1949,0,72,0,0,0
default_hero_583_skill_6,100,30,3248,0,120,0,0,0
default_hero_584_skill_1,100,0,0,0,0,0,0,0
default_hero_585_skill_1,100,0,0,0,0,0,0,0
default_hero_586_skill_1,100,0,0,0,0,0,0,0
default_hero_586_skill_2,100,0,324,100,9.45,0,0,0
default_hero_586_skill_3,100,0,0,1,0,0,0,0
default_hero_586_skill_4,100,70,648,3,900,0,0,0
default_hero_586_skill_5,100,50,2051,0,60,0,0,0
default_hero_586_skill_6,100,30,3384,0,99,0,0,0
default_hero_587_skill_1,100,0,0,0,0,0,0,0
default_hero_588_skill_1,100,0,0,0,0,0,0,0
default_hero_589_skill_1,100,0,0,0,0,0,0,0
default_hero_589_skill_2,100,0,325,100,14.25,0,0,0
default_hero_589_skill_3,100,0,223,3,9.75,0,0,0
default_hero_589_skill_4,100,70,0,2,0,0,0,0
default_hero_589_skill_5,100,50,0,2,0,0,0,0
default_hero_589_skill_6,100,30,3248,0,142.5,0,0,0
default_hero_590_skill_1,100,0,0,0,0,0,0,0
default_hero_591_skill_1,100,0,0,0,0,0,0,0
default_hero_592_skill_1,100,0,0,0,0,0,0,0
default_hero_592_skill_2,100,0,325,100,12,0,0,0
default_hero_592_skill_3,100,0,224,3,8.25,0,0,0
default_hero_592_skill_4,100,70,0,2,0,0,0,0
default_hero_592_skill_5,100,50,0,2,0,0,0,0
default_hero_592_skill_6,100,30,3167,0,117,0,0,0
default_hero_593_skill_1,100,0,0,0,0,0,0,0
default_hero_594_skill_1,100,0,0,0,0,0,0,0
default_hero_595_skill_1,100,0,0,0,0,0,0,0
default_hero_595_skill_2,100,0,324,100,9.45,0,0,0
default_hero_595_skill_3,100,0,206,3,6,0,0,0
default_hero_595_skill_4,100,70,0,2,0,0,0,0
default_hero_595_skill_5,100,50,0,2,0,0,0,0
default_hero_595_skill_6,100,30,3231,0,94.5,0,0,0
default_hero_596_skill_1,100,0,0,0,0,0,0,0
default_hero_597_skill_1,100,0,0,0,0,0,0,0
default_hero_598_skill_1,100,0,0,0,0,0,0,0
default_hero_598_skill_2,100,0,325,100,14.25,0,0,0
default_hero_598_skill_3,100,0,650,0,28.5,0,0,0
default_hero_598_skill_4,100,70,0,2,0,0,0,0
default_hero_598_skill_5,100,50,0,2,0,0,0,0
default_hero_598_skill_6,100,30,3248,0,142.5,0,0,0
default_hero_599_skill_1,100,0,0,0,0,0,0,0
default_hero_600_skill_1,100,0,0,0,0,0,0,0
default_hero_601_skill_1,100,0,0,0,0,0,0,0
default_hero_601_skill_2,100,0,325,100,12,0,0,0
