name,tiers,target,type,percent,damage,defence,health,shield,speed,round,can_be_dispel,drop_effect,hit_effect
hero_553_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_556_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_559_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_562_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_565_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_568_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_571_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_574_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_577_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_580_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_583_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_586_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_589_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_592_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_595_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_598_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_601_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_604_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_607_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_607_skill_3_2,1,selector_all,taunt,,,,,,,,TRUE,,
hero_607_skill_4_2,1,selector_all,defdown,0.15,,,,,,2,TRUE,,
hero_607_skill_5_2,1,selector_all,damdown,0.075,,,,,,2,TRUE,,
hero_610_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_610_skill_3_2,1,selector_all,taunt,,,,,,,,TRUE,,
hero_610_skill_4_2,1,selector_all,defdown,0.15,,,,,,2,TRUE,,
hero_610_skill_5_2,1,selector_all,damdown,0.075,,,,,,2,TRUE,,
hero_613_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_613_skill_3_2,1,selector_all,taunt,,,,,,,,TRUE,,
hero_613_skill_4_2,1,selector_all,defdown,2.4,,,,,,2,TRUE,,
hero_613_skill_5_2,1,selector_all,damdown,0.06,,,,,,2,TRUE,,
hero_616_skill_1_2,1,selector_self,confuse,,,,,,,3,TRUE,,
hero_617_skill_1_2,1,selector_self_row2_all,speedup,,,,,,30,3,TRUE,,
hero_619_skill_1_2,1,selector_hitme,defdown,0.375,,,,,,4,TRUE,,
hero_621_skill_1_2,1,selector_self_all,defup,0.09,,,,,,3,TRUE,,
hero_622_skill_1_2,1,selector_col,confuse,,,,,,,3,TRUE,,
hero_623_skill_1_2,1,selector_self_col,stunimmu,,,,,,,3,FALSE,,
hero_624_skill_1_2,1,selector_self_col,speedup,,,,,,30,,,,
hero_625_skill_1_2,1,selector_row1_all,dispel,,,,,,,,,,
hero_627_skill_1_2,1,selector_self,magimmu,,,,,,,3,FALSE,,
hero_631_skill_1_2,1,selector_hitme,stun,,,,,,,3,TRUE,,
hero_633_skill_1_2,1,selector_all,dot,0.015,,,,,,2,TRUE,,
hero_633_skill_1_2,1,selector_all,dot,0.015,,,,,,2,TRUE,,
