hero,animation,function,time
hero_301,skill,ActionPlay,0.5
hero_301,victor,ActionPlay,0.2
hero_301,failed,ActionPlay,0.2
hero_301,failed,ActionEnd,0.2
hero_302,attack,ActionEnd,1.3
hero_302,attack,AudioPlay,0.4
hero_302,attack,ActionPlay,0.3
hero_302,skill,AudioPlay,0.4
hero_302,skill,ActionPlay,0.5
hero_302,victor,ActionPlay,0.2
hero_302,failed,ActionPlay,0.2
hero_302,failed,ActionEnd,0.2
hero_306,attack,ActionEnd,1.3
hero_306,attack,AudioPlay,0.4
hero_306,attack,ActionPlay,0.3
hero_306,skill,AudioPlay,0.4
hero_306,skill,ActionPlay,0.5
hero_306,victor,ActionPlay,0.2
hero_306,failed,ActionPlay,0.2
hero_306,failed,ActionEnd,0.2
hero_305,attack,ActionEnd,1.3
hero_305,attack,AudioPlay,0.4
hero_305,attack,ActionPlay,0.3
hero_305,skill,AudioPlay,0.4
hero_305,skill,ActionPlay,0.5
hero_305,victor,ActionPlay,0.2
hero_305,failed,ActionPlay,0.2
hero_305,failed,ActionEnd,0.2
hero_307,attack,ActionEnd,1.3
hero_307,attack,AudioPlay,0.4
hero_307,attack,ActionPlay,0.3
hero_307,skill,AudioPlay,0.4
hero_307,skill,ActionPlay,0.5
hero_307,victor,ActionPlay,0.2
hero_307,failed,ActionPlay,0.2
hero_307,failed,ActionEnd,0.2
hero_403,attack,ActionEnd,1.3
hero_403,attack,AudioPlay,0.4
hero_403,attack,ActionPlay,0.3
hero_403,skill,AudioPlay,0.4
hero_403,skill,ActionPlay,0.5
hero_403,victor,ActionPlay,0.2
hero_403,failed,ActionPlay,0.2
hero_403,failed,ActionEnd,0.2
hero_405,attack,ActionEnd,1
hero_405,attack,AudioPlay,0.33
hero_405,attack,ActionPlay,0.3
hero_405,skill,AudioPlay,0.44
hero_405,skill,ActionPlay,0.67
hero_405,victor,ActionPlay,0.2
