name,tiers,target,type,percent,damage,defence,health,shield,speed,round,can_be_dispel,drop_effect,hit_effect
hero_628_skill_1_1,1,selector_lowesthp,damage,1.8,,,,,,,,,
hero_629_skill_1_1,1,selector_default,focusfire,,,,,,,2,TRUE,,
hero_630_skill_1_1,1,selector_default,vampiric,1.2,,,,,,,,,
hero_631_skill_1_1,1,selector_hitme,damage,1.2,,,,,,,,,
hero_632_skill_1_1,1,selector_self,absorb,,,,,,,3,TRUE,,
hero_633_skill_1_1,1,selector_all,damage,0.12,,,,,,,,,
hero_109_skill_1_2,1,selector_self,damup,0.16,,,,,,5,TRUE,,
hero_106_skill_1_2,1,selector_col,damage,0.825,,,,,,,,,
hero_211_skill_1_2,1,selector_self_col,stunimmu,,,,,,,,TRUE,,
hero_009_skill_1_2,1,selector_row1_random,healdown,0.015,,,,,,,TRUE,,
hero_204_skill_1_2,1,selector_row1_all,dot,0.15,,,,,,3,TRUE,,
hero_203_skill_1_2,1,selector_default,focusfire,,,,,,,3,TRUE,,
hero_104_skill_1_2,1,selector_self_row1_all,speedup,,,,,,20,,FALSE,,
hero_207_skill_1_2,1,selector_self,damup,0.06,,,,,,,FALSE,,
hero_208_skill_1_2,1,selector_self_row1_all,dot,0.12,,,,,,3,TRUE,,
hero_209_skill_1_2,1,selector_row2_all,speeddown,,,,,,30,3,TRUE,,
hero_401_skill_1_2,1,selector_col,taunt,,,,,,,3,TRUE,,
hero_406_skill_1_2,1,selector_self_all,dispel,,,,,,,,,,
hero_304_skill_1_2,1,selector_lowesthp,focusfire,,,,,,,2,TRUE,,
hero_112_skill_1_2,1,selector_ihit,healdown,0.015,,,,,,100,TRUE,,
hero_404_skill_1_2,1,selector_self,damage,0.6,,,,,,,,,
hero_407_skill_1_2,1,selector_self_row2_all,speedup,,,,,,25,5,TRUE,,
hero_501_skill_1_2,1,selector_self,heal,0.3,,,,,,,,,
hero_502_skill_1_2,1,selector_hitme,stun,,,,,,,3,TRUE,,
hero_508_skill_1_2,1,selector_self,confuse,,,,,,,3,TRUE,,
hero_509_skill_1_2,1,selector_self_row2_all,speedup,,,,,,30,3,TRUE,,
hero_511_skill_1_2,1,selector_hitme,defdown,0.375,,,,,,4,TRUE,,
hero_513_skill_1_2,1,selector_self_all,defup,0.09,,,,,,3,TRUE,,
hero_514_skill_1_2,1,selector_col,confuse,,,,,,,3,TRUE,,
hero_515_skill_1_2,1,selector_self_col,stunimmu,,,,,,,3,FALSE,,
hero_516_skill_1_2,1,selector_self_col,speedup,,,,,,30,,,,
hero_517_skill_1_2,1,selector_row1_all,dispel,,,,,,,,,,
hero_519_skill_1_2,1,selector_self,magimmu,,,,,,,3,FALSE,,
hero_523_skill_1_2,1,selector_hitme,stun,,,,,,,3,TRUE,,
hero_525_skill_1_2,1,selector_all,dot,0.015,,,,,,2,TRUE,,
hero_526_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_526_skill_3_2,1,selector_all,disarm,,,,,,,2,TRUE,,
hero_529_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_529_skill_3_2,1,selector_all,disarm,,,,,,,2,TRUE,,
hero_532_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_532_skill_3_2,1,selector_all,disarm,,,,,,,2,TRUE,,
hero_535_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_535_skill_3_2,1,selector_all,silence,,,,,,,2,TRUE,,
hero_538_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_538_skill_3_2,1,selector_all,silence,,,,,,,2,TRUE,,
hero_541_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_541_skill_3_2,1,selector_all,silence,,,,,,,2,TRUE,,
hero_544_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_547_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_550_skill_1_2,1,selector_self,seductionimmu,,,,,,,,FALSE,,
