hero,index,step,end_delay,target
hero_584,skill_1_1,fly,0.2,head
hero_584,skill_1_1,hit,0.2,foot
hero_585,skill_1_1,cast,0.2,foot
hero_585,skill_1_1,fly,0.2,head
hero_585,skill_1_1,hit,0.2,foot
hero_586,skill_1_1,cast,0.2,foot
hero_586,skill_1_1,fly,0.2,head
hero_586,skill_1_1,hit,0.2,foot
hero_587,skill_1_1,cast,0.2,foot
hero_587,skill_1_1,fly,0.2,head
hero_587,skill_1_1,hit,0.2,foot
hero_588,skill_1_1,cast,0.2,foot
hero_588,skill_1_1,fly,0.2,head
hero_588,skill_1_1,hit,0.2,foot
hero_589,skill_1_1,cast,0.2,foot
hero_589,skill_1_1,fly,0.2,head
hero_589,skill_1_1,hit,0.2,foot
hero_590,skill_1_1,cast,0.2,foot
hero_590,skill_1_1,fly,0.2,head
hero_590,skill_1_1,hit,0.2,foot
hero_591,skill_1_1,cast,0.2,foot
hero_591,skill_1_1,fly,0.2,head
hero_591,skill_1_1,hit,0.2,foot
hero_592,skill_1_1,cast,0.2,foot
hero_592,skill_1_1,fly,0.2,head
hero_592,skill_1_1,hit,0.2,foot
hero_593,skill_1_1,cast,0.2,foot
hero_593,skill_1_1,fly,0.2,head
hero_593,skill_1_1,hit,0.2,foot
hero_594,skill_1_1,cast,0.2,foot
hero_594,skill_1_1,fly,0.2,head
hero_594,skill_1_1,hit,0.2,foot
hero_595,skill_1_1,cast,0.2,foot
hero_595,skill_1_1,fly,0.2,head
hero_595,skill_1_1,hit,0.2,foot
hero_596,skill_1_1,cast,0.2,foot
hero_596,skill_1_1,fly,0.2,head
hero_596,skill_1_1,hit,0.2,foot
hero_597,skill_1_1,cast,0.2,foot
hero_597,skill_1_1,fly,0.2,head
hero_597,skill_1_1,hit,0.2,foot
hero_598,skill_1_1,cast,0.2,foot
hero_598,skill_1_1,fly,0.2,head
hero_598,skill_1_1,hit,0.2,foot
hero_599,skill_1_1,cast,0.2,foot
hero_599,skill_1_1,fly,0.2,head
hero_599,skill_1_1,hit,0.2,foot
hero_600,skill_1_1,cast,0.2,foot
hero_600,skill_1_1,fly,0.2,head
hero_600,skill_1_1,hit,0.2,foot
