id,level,type,name,race,tribute_gold_buff,tribute_gold_buff_bonus,alliance_tribute_gold_buff,gold,lumber,marble,steel,food,lumber_buff,marble_buff,steel_buff,food_buff,stronghold_time_buff,durability,force,alliance_exp,size,rank_points,limit_time,limit_gem
"9,2,200,1",10,zone_capital,kaldaruhm_center,dwarf,0,2.5,84,0,576000,576000,576000,576000,0,5940,5940,0,0.3,864000,0,3000000,l,20000,4144788,98
"9,2,200,0",10,zone_capital,kaldaruhm_outside,dwarf,70,0,0,280,96000,96000,96000,96000,0,0,0,0,0.3,9600,5120,300000,,0,0,0
"9,3,200,1",10,zone_capital,dhilbuldar_center,dwarf,0,2.5,84,0,576000,576000,576000,576000,2970,8910,0,5940,0.3,864000,0,3000000,l,20000,4144788,98
"9,3,200,0",10,zone_capital,dhilbuldar_outside,dwarf,70,0,0,280,96000,96000,96000,96000,0,0,0,0,0.3,9600,5120,300000,,0,0,0
"9,4,200,1",11,zone_capital,marulihr_center,dwarf,0,2.5,96,0,678000,678000,678000,678000,0,6840,6840,0,0.3,1350000,0,4392300,l,26620,6319800,105
"9,4,200,0",11,zone_capital,marulihr_outside,dwarf,80,0,0,320,113000,113000,113000,113000,0,0,0,0,0.3,13500,10240,439230,,0,0,0
"9,5,200,1",12,region_capital,anguith_center,demon,0,3.5,108,0,792000,792000,792000,792000,18000,3600,0,0,0.3,1800000,0,6220800,l,86400,9507312,120
"9,5,200,0",12,region_capital,anguith_outside,demon,90,0,0,540,132000,132000,132000,132000,0,0,0,0,0.3,15000,20480,622080,,0,0,0
"9,6,200,1",10,zone_capital,dholbadur_center,dwarf,0,2.5,84,0,576000,576000,576000,576000,0,8910,0,2970,0.3,864000,0,3000000,l,20000,4144788,98
"9,6,200,0",10,zone_capital,dholbadur_outside,dwarf,70,0,0,280,96000,96000,96000,96000,0,0,0,0,0.3,9600,5120,300000,,0,0,0
"9,7,200,1",10,zone_capital,dharnbadir_center,dwarf,0,2.5,84,0,576000,576000,576000,576000,5940,5940,0,0,0.3,864000,0,3000000,l,20000,4144788,98
"9,7,200,0",10,zone_capital,dharnbadir_outside,dwarf,70,0,0,280,96000,96000,96000,96000,0,0,0,0,0.3,9600,5120,300000,,0,0,0
"9,8,200,1",11,zone_capital,dentorum_center,dwarf,0,2.5,96,0,678000,678000,678000,678000,0,0,10260,3420,0.3,1350000,0,4392300,l,26620,6319800,105
"9,8,200,0",11,zone_capital,dentorum_outside,dwarf,80,0,0,320,113000,113000,113000,113000,0,0,0,0,0.3,13500,10240,439230,,0,0,0
"10,1,200,1",11,zone_capital,balulihr_center,dwarf,0,2.5,96,0,678000,678000,678000,678000,3420,0,10260,0,0.3,1350000,0,4392300,l,26620,6319800,105
"10,1,200,0",11,zone_capital,balulihr_outside,dwarf,80,0,0,320,113000,113000,113000,113000,0,0,0,0,0.3,13500,10240,439230,,0,0,0
"10,2,200,1",10,zone_capital,isha_entheas_center,elf,0,2.5,84,0,576000,576000,576000,576000,0,5940,5940,0,0.3,864000,0,3000000,l,20000,4144788,98
"10,2,200,0",10,zone_capital,isha_entheas_outside,elf,70,0,0,280,96000,96000,96000,96000,0,0,0,0,0.3,9600,5120,300000,,0,0,0
