hero,animation,function,time
hero_588,skill,ActionPlay,0.5
hero_588,victor,ActionPlay,0.2
hero_588,failed,ActionPlay,0.2
hero_588,failed,ActionEnd,0.2
hero_589,attack,ActionEnd,1.3
hero_589,attack,AudioPlay,0.4
hero_589,attack,ActionPlay,0.3
hero_589,skill,AudioPlay,0.4
hero_589,skill,ActionPlay,0.5
hero_589,victor,ActionPlay,0.2
hero_589,failed,ActionPlay,0.2
hero_589,failed,ActionEnd,0.2
hero_590,attack,ActionEnd,1.3
hero_590,attack,AudioPlay,0.4
hero_590,attack,ActionPlay,0.3
hero_590,skill,AudioPlay,0.4
hero_590,skill,ActionPlay,0.5
hero_590,victor,ActionPlay,0.2
hero_590,failed,ActionPlay,0.2
hero_590,failed,ActionEnd,0.2
hero_591,attack,ActionEnd,1.3
hero_591,attack,AudioPlay,0.4
hero_591,attack,ActionPlay,0.3
hero_591,skill,AudioPlay,0.4
hero_591,skill,ActionPlay,0.5
hero_591,victor,ActionPlay,0.2
hero_591,failed,ActionPlay,0.2
hero_591,failed,ActionEnd,0.2
hero_592,attack,ActionEnd,1.3
hero_592,attack,AudioPlay,0.4
hero_592,attack,ActionPlay,0.3
hero_592,skill,AudioPlay,0.4
hero_592,skill,ActionPlay,0.5
hero_592,victor,ActionPlay,0.2
hero_592,failed,ActionPlay,0.2
hero_592,failed,ActionEnd,0.2
hero_593,attack,ActionEnd,1.3
hero_593,attack,AudioPlay,0.4
hero_593,attack,ActionPlay,0.3
hero_593,skill,AudioPlay,0.4
hero_593,skill,ActionPlay,0.5
hero_593,victor,ActionPlay,0.2
hero_593,failed,ActionPlay,0.2
hero_593,failed,ActionEnd,0.2
hero_594,attack,ActionEnd,1
hero_594,attack,AudioPlay,0.33
hero_594,attack,ActionPlay,0.3
hero_594,skill,AudioPlay,0.44
hero_594,skill,ActionPlay,0.67
hero_594,victor,ActionPlay,0.2
