id,level,type,name,race,tribute_gold_buff,tribute_gold_buff_bonus,alliance_tribute_gold_buff,gold,lumber,marble,steel,food,lumber_buff,marble_buff,steel_buff,food_buff,stronghold_time_buff,durability,force,alliance_exp,size,rank_points,limit_time,limit_gem
"3,4,200,1",8,zone_capital,pendle_center,raider,0,2.5,60,0,372000,372000,372000,372000,0,2920,6810,0,0.3,381000,0,1228800,m,10240,2336868,83
"3,4,200,0",8,zone_capital,pendle_outside,raider,50,0,0,150,62000,62000,62000,62000,0,0,0,0,0.3,5438,1280,122880,,0,0,0
"3,4,201,1",5,normal,himedur_center,dwarf,0,2,30,0,144000,144000,144000,144000,720,0,2880,0,0,78000,0,187500,s,1250,551808,60
"3,4,201,0",5,normal,himedur_outside,dwarf,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"3,4,202,1",4,normal,panshaw_center,raider,0,2,24,0,72000,72000,72000,72000,0,2880,0,0,0,19000,0,76800,s,640,361548,53
"3,4,202,0",4,normal,panshaw_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"3,5,200,1",8,zone_capital,airedale_center,raider,0,2.5,60,0,372000,372000,372000,372000,0,0,9720,0,0.3,381000,0,1228800,m,10240,2336868,83
"3,5,200,0",8,zone_capital,airedale_outside,raider,50,0,0,150,62000,62000,62000,62000,0,0,0,0,0.3,5438,1280,122880,,0,0,0
"3,5,201,1",5,normal,dhigthiod_center,dwarf,0,2,30,0,144000,144000,144000,144000,0,720,2880,0,0,78000,0,187500,s,1250,551808,60
"3,5,201,0",5,normal,dhigthiod_outside,dwarf,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"3,5,202,1",4,normal,merton_center,raider,0,2,24,0,72000,72000,72000,72000,0,2310,0,580,0,19000,0,76800,s,640,361548,53
"3,5,202,0",4,normal,merton_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"3,6,200,1",7,zone_capital,lerwick_center,raider,0,2,48,0,282000,282000,282000,282000,2700,6300,0,0,0.3,315000,0,720300,m,6860,1303812,75
"3,6,200,0",7,zone_capital,lerwick_outside,raider,40,0,0,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"3,6,201,1",6,normal,thorpes_center,raider,0,2,36,0,216000,216000,216000,216000,3460,0,870,0,0,135000,0,388800,s,2160,825588,68
"3,6,201,0",6,normal,thorpes_outside,raider,30,0,0,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
