hero,animation,function,time
hero_582,attack,ActionPlay,0.3
hero_582,skill,AudioPlay,0.4
hero_582,skill,ActionPlay,0.5
hero_582,victor,ActionPlay,0.2
hero_582,failed,ActionPlay,0.2
hero_582,failed,ActionEnd,0.2
hero_583,attack,ActionEnd,1
hero_583,attack,AudioPlay,0.33
hero_583,attack,ActionPlay,0.3
hero_583,skill,AudioPlay,0.44
hero_583,skill,ActionPlay,0.67
hero_583,victor,ActionPlay,0.2
hero_583,failed,ActionPlay,0.2
hero_583,failed,ActionEnd,0.2
hero_584,attack,ActionEnd,1.3
hero_584,attack,AudioPlay,0.4
hero_584,attack,ActionPlay,0.3
hero_584,skill,AudioPlay,0.4
hero_584,skill,ActionPlay,0.5
hero_584,victor,ActionPlay,0.2
hero_584,failed,ActionPlay,0.2
hero_584,failed,ActionEnd,0.2
hero_585,attack,ActionEnd,1.3
hero_585,attack,AudioPlay,0.4
hero_585,attack,ActionPlay,0.3
hero_585,skill,AudioPlay,0.4
hero_585,skill,ActionPlay,0.5
hero_585,victor,ActionPlay,0.2
hero_585,failed,ActionPlay,0.2
hero_585,failed,ActionEnd,0.2
hero_586,attack,ActionEnd,1.3
hero_586,attack,AudioPlay,0.4
hero_586,attack,ActionPlay,0.3
hero_586,skill,AudioPlay,0.4
hero_586,skill,ActionPlay,0.5
hero_586,victor,ActionPlay,0.2
hero_586,failed,ActionPlay,0.2
hero_586,failed,ActionEnd,0.2
hero_587,attack,ActionEnd,1.3
hero_587,attack,AudioPlay,0.4
hero_587,attack,ActionPlay,0.3
hero_587,skill,AudioPlay,0.4
hero_587,skill,ActionPlay,0.5
hero_587,victor,ActionPlay,0.2
hero_587,failed,ActionPlay,0.2
hero_587,failed,ActionEnd,0.2
hero_588,attack,ActionEnd,1.3
hero_588,attack,AudioPlay,0.4
hero_588,attack,ActionPlay,0.3
hero_588,skill,AudioPlay,0.4
