name,tiers,target,type,percent,damage,defence,health,shield,speed,round,can_be_dispel,drop_effect,hit_effect
hero_601_skill_3_1,1,selector_all,damage,0.24,,,,,,,,,
hero_601_skill_4_1,1,selector_row1_all,stun,,,,,,,2,TRUE,,
hero_601_skill_5_1,1,selector_row2_all,silence,,,,,,,2,TRUE,,
hero_601_skill_6_1,1,selector_lowesthp,damage,1.2,,,,,,,,,
hero_602_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_603_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_604_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_604_skill_2_1,1,selector_self,damup,0.0945,,,,,,100,TRUE,,
hero_604_skill_3_1,1,selector_all,damage,0.195,,,,,,,,,
hero_604_skill_4_1,1,selector_row1_all,stun,,,,,,,2,TRUE,,
hero_604_skill_5_1,1,selector_row2_all,silence,,,,,,,2,TRUE,,
hero_604_skill_6_1,1,selector_lowesthp,damage,0.945,,,,,,,,,
hero_605_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_606_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_607_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_607_skill_2_1,1,selector_self,damup,0.0945,,,,,,100,TRUE,,
hero_607_skill_3_1,1,selector_all,damage,0.285,,,,,,,,,
hero_607_skill_4_1,1,selector_all,damage,0.3,,,,,,,,,
hero_607_skill_5_1,1,selector_all,damage,0.3,,,,,,,,,
hero_607_skill_6_1,1,selector_lowesthp,damage,1.5,,,,,,,,,
hero_608_skill_1_1,1,selector_self_row,heal,0.06,,,,,,,,,
hero_609_skill_1_1,1,selector_self_row,heal,0.06,,,,,,,,,
hero_610_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_610_skill_2_1,1,selector_self,damup,0.12,,,,,,100,TRUE,,
hero_610_skill_3_1,1,selector_all,damage,0.24,,,,,,,,,
hero_610_skill_4_1,1,selector_all,damage,0.255,,,,,,,,,
hero_610_skill_5_1,1,selector_all,damage,0.225,,,,,,,,,
hero_610_skill_6_1,1,selector_lowesthp,damage,1.2,,,,,,,,,
hero_611_skill_1_1,1,selector_self_row,heal,0.06,,,,,,,,,
hero_612_skill_1_1,1,selector_self_row,heal,0.06,,,,,,,,,
hero_613_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_613_skill_2_1,1,selector_self,damup,0.0945,,,,,,100,TRUE,,
hero_613_skill_3_1,1,selector_all,damage,0.195,,,,,,,,,
hero_613_skill_4_1,1,selector_all,damage,0.195,,,,,,,,,
hero_613_skill_5_1,1,selector_all,damage,0.195,,,,,,,,,
hero_613_skill_6_1,1,selector_lowesthp,damage,0.945,,,,,,,,,
hero_614_skill_1_1,1,selector_self_row,heal,0.06,,,,,,,,,
hero_615_skill_1_1,1,selector_self_row,heal,0.06,,,,,,,,,
hero_616_skill_1_1,1,selector_hitme,reflect,3,,,,,,,,,
hero_617_skill_1_1,1,selector_self_row2_all,damup,0.375,,,,,,3,TRUE,,
hero_618_skill_1_1,1,selector_hitme,dot,0.6,,,,,,3,TRUE,,
hero_619_skill_1_1,1,selector_hitme,reflect,1.5,,,,,,,,,
hero_620_skill_1_1,1,selector_default,damage,1.2,,,,,,,,,
hero_621_skill_1_1,1,selector_self_all,shield,0.015,,,,,,3,TRUE,,
hero_622_skill_1_1,1,selector_col,dot,0.345,,,,,,3,TRUE,,
hero_623_skill_1_1,1,selector_self_col,hot,0.075,,,,,,3,TRUE,,
hero_624_skill_1_1,1,selector_self_col,healup,0.015,,,,,,,,,
hero_625_skill_1_1,1,selector_row1_all,damage,0.375,,,,,,,,,
hero_626_skill_1_1,1,selector_self,heal,0.195,,,,,,,,,
hero_627_skill_1_1,1,selector_self,heal,0.24,,,,,,,,,
