id,level,type,name,race,tribute_gold_buff,tribute_gold_buff_bonus,alliance_tribute_gold_buff,gold,lumber,marble,steel,food,lumber_buff,marble_buff,steel_buff,food_buff,stronghold_time_buff,durability,force,alliance_exp,size,rank_points,limit_time,limit_gem
"8,8,204,1",4,normal,horndean_center,raider,0,2,24,0,72000,72000,72000,72000,0,2880,0,0,0,19000,0,76800,s,640,361548,53
"8,8,204,0",4,normal,horndean_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"8,7,200,1",7,zone_capital,mighgan_center,dwarf,0,2,48,0,282000,282000,282000,282000,0,6750,0,2250,0.3,315000,0,720300,m,6860,1303812,75
"8,7,200,0",7,zone_capital,mighgan_outside,dwarf,40,0,0,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"8,7,201,1",6,normal,dumbarton_center,raider,0,2,36,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"8,7,201,0",6,normal,dumbarton_outside,raider,30,0,0,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"8,7,202,1",4,normal,penshaw_center,raider,0,2,24,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"8,7,202,0",4,normal,penshaw_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"8,7,203,1",5,normal,vanam_center,dwarf,0,2,30,0,144000,144000,144000,144000,0,0,2700,900,0,78000,0,187500,s,1250,551808,60
"8,7,203,0",5,normal,vanam_outside,dwarf,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"8,7,204,1",4,normal,arkala_center,raider,0,2,24,0,72000,72000,72000,72000,0,0,0,2880,0,19000,0,76800,s,640,361548,53
"8,7,204,0",4,normal,arkala_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
