id,category,type,name,level,amount,tier,force,produce,times,gem,gold,food,lumber,marble,steel,crystal,hero_fragments,locale_title,locale_desc
301,special,pvp_times,,,,,,,5,,0,0,2024300,4723200,2180000,,,task_301_title,task_301_desc
302,normal,building_level,townhall,12,,,,,,,0,0,2024300,0,2180000,,,task_302_title,task_302_desc
303,special,specify_building_level,armycamp_H,1,,,,,,,0,0,3156400,6838700,3419400,,,task_303_title,task_303_desc
304,normal,specify_building_level,armycamp_H,12,,,,,,,0,0,3156400,6838700,3419400,,,task_304_title,task_304_desc
305,normal,resource_level,,11,,,,,5,,685715,0,0,0,0,,,task_305_title,task_305_desc
306,normal,recruit_amount,,,2250000,,,,,,685715,0,0,0,0,,,task_306_title,task_306_desc
307,normal,troop_add_hero,armycamp_H,,,,,,6,,0,6838700,0,0,0,,,task_307_title,task_307_desc
308,normal,building_level,tavern,12,,,,,,,0,0,3156400,0,3419400,,,task_308_title,task_308_desc
309,special,battle_win,,,,,,,5,,685715,0,3156400,6838700,0,,,task_309_title,task_309_desc
310,normal,get_tribute_times,,,,,,,1,,0,0,3156400,0,3419400,,,task_310_title,task_310_desc
311,normal,building_level,templeofthewoods,11,,,,,,,0,0,3156400,0,3419400,,,task_311_title,task_311_desc
312,normal,recruit,,,,,,,48,,0,0,3156400,6838700,3419400,,,task_312_title,task_312_desc
313,normal,resource_amount,,,271,,,,,,0,6838700,3156400,0,0,,,task_313_title,task_313_desc
314,normal,building_level,hallofstone,10,,,,,,,0,0,3156400,0,3419400,,,task_314_title,task_314_desc
315,normal,hero_level,,56,,,,,,,0,6838700,0,0,3419400,,,task_315_title,task_315_desc
316,special,resource_level,,12,,,,,1,,685715,0,0,0,0,,,task_316_title,task_316_desc
317,normal,hero_amount,,,48,,,,,,0,0,0,6838700,3419400,,,task_317_title,task_317_desc
318,normal,building_level,altarofchaos,3,,,,,,,0,0,3156400,0,3419400,,,task_318_title,task_318_desc
319,normal,stronghold_amount,,,19,,,,,,685715,0,0,0,0,,,task_319_title,task_319_desc
320,normal,recruit_amount,,,4500000,,,,,,685715,0,0,0,0,,,task_320_title,task_320_desc
321,normal,resource_level,,12,,,,,3,,685715,0,0,0,0,,,task_321_title,task_321_desc
322,special,resource_produce,food,,,,,79857,,,685715,0,0,0,0,,,task_322_title,task_322_desc
323,normal,building_level,dragonstemple,2,,,,,,,0,0,3156400,0,3419400,,,task_323_title,task_323_desc
324,normal,hero_amount,,,49,,,,,,0,0,0,6838700,3419400,,,task_324_title,task_324_desc
325,normal,attack_npccity,,,,,,,220,,685715,0,0,0,0,,,task_325_title,task_325_desc
326,normal,gold_totalamount,,,24000000,,,,,,0,6838700,3156400,0,0,,,task_326_title,task_326_desc
327,normal,building_level,storage,12,,,,,,,0,0,3156400,0,3419400,,,task_327_title,task_327_desc
328,normal,stronghold_amount,,,20,,,,,,685715,0,0,0,0,,,task_328_title,task_328_desc
329,normal,attack_pass,,,,,,,110,,685715,6838700,0,6838700,0,,,task_329_title,task_329_desc
330,special,hero_amount,,,50,,,,,,0,0,0,6838700,3419400,,,task_330_title,task_330_desc
331,normal,pvp_times,,,,,,,3,,0,0,3156400,6838700,3419400,,,task_331_title,task_331_desc
332,normal,get_tribute_times,,,,,,,5,,0,0,3156400,0,3419400,,,task_332_title,task_332_desc
333,normal,battle_win,,,,,,,10,,685715,0,3156400,6838700,0,,,task_333_title,task_333_desc
334,normal,force,,,,,10240,,,,0,6838700,0,0,0,,,task_334_title,task_334_desc
335,normal,resource_produce,marble,,,,,127770,,,685715,0,0,0,0,,,task_335_title,task_335_desc
336,normal,gold_totalamount,,,48000000,,,,,,0,6838700,3156400,0,0,,,task_336_title,task_336_desc
337,normal,attack_npccity,,,,,,,245,,685715,0,0,0,0,,,task_337_title,task_337_desc
338,normal,attack_pass,,,,,,,123,,685715,6838700,0,6838700,0,,,task_338_title,task_338_desc
339,special,pvp_times,,,,,,,5,,0,0,3156400,6838700,3419400,,,task_339_title,task_339_desc
