name,trigger,percent,hp_percent,trigger_interval,max_trigger_times,effect,description,cast_effect
hero_562_skill_1,halo,1,0,0,20,"hero_562_skill_1_1,hero_562_skill_1_2",skilldes_hero_562_skill_1,
hero_562_skill_2,default,1,0,2,20,hero_562_skill_2_1,skilldes_hero_562_skill_2,
hero_562_skill_3,default,1,0,2,20,hero_562_skill_3_1,skilldes_hero_562_skill_3,
hero_562_skill_4,hp,1,0.7,3,20,hero_562_skill_4_1,skilldes_hero_562_skill_4,
hero_562_skill_5,hp,1,0.4,3,20,hero_562_skill_5_1,skilldes_hero_562_skill_5,
hero_563_skill_1,halo,1,0,0,20,hero_563_skill_1_1,skilldes_hero_563_skill_1,
hero_564_skill_1,halo,1,0,0,20,hero_564_skill_1_1,skilldes_hero_564_skill_1,
hero_565_skill_1,halo,1,0,0,20,"hero_565_skill_1_1,hero_565_skill_1_2",skilldes_hero_565_skill_1,
hero_565_skill_2,default,1,0,2,20,hero_565_skill_2_1,skilldes_hero_565_skill_2,
hero_565_skill_3,default,1,0,2,20,hero_565_skill_3_1,skilldes_hero_565_skill_3,
hero_565_skill_4,hp,1,0.7,3,20,hero_565_skill_4_1,skilldes_hero_565_skill_4,
hero_565_skill_5,hp,1,0.4,3,20,hero_565_skill_5_1,skilldes_hero_565_skill_5,
hero_566_skill_1,halo,1,0,0,20,hero_566_skill_1_1,skilldes_hero_566_skill_1,
hero_567_skill_1,halo,1,0,0,20,hero_567_skill_1_1,skilldes_hero_567_skill_1,
hero_568_skill_1,halo,1,0,0,20,"hero_568_skill_1_1,hero_568_skill_1_2",skilldes_hero_568_skill_1,
hero_568_skill_2,default,1,0,2,20,hero_568_skill_2_1,skilldes_hero_568_skill_2,
hero_568_skill_3,default,1,0,2,20,hero_568_skill_3_1,skilldes_hero_568_skill_3,
hero_568_skill_4,hp,1,0.7,3,20,hero_568_skill_4_1,skilldes_hero_568_skill_4,
hero_568_skill_5,hp,1,0.4,3,20,hero_568_skill_5_1,skilldes_hero_568_skill_5,
hero_569_skill_1,halo,1,0,0,20,hero_569_skill_1_1,skilldes_hero_569_skill_1,
hero_570_skill_1,halo,1,0,0,20,hero_570_skill_1_1,skilldes_hero_570_skill_1,
hero_571_skill_1,halo,1,0,0,20,"hero_571_skill_1_1,hero_571_skill_1_2",skilldes_hero_571_skill_1,
hero_571_skill_2,default,1,0,2,20,hero_571_skill_2_1,skilldes_hero_571_skill_2,
hero_571_skill_3,hitme,1,0,0,20,hero_571_skill_3_1,skilldes_hero_571_skill_3,
hero_571_skill_4,hp,1,0.7,3,20,hero_571_skill_4_1,skilldes_hero_571_skill_4,
hero_571_skill_5,hp,1,0.4,3,20,hero_571_skill_5_1,skilldes_hero_571_skill_5,
hero_572_skill_1,halo,1,0,0,20,hero_572_skill_1_1,skilldes_hero_572_skill_1,
hero_573_skill_1,halo,1,0,0,20,hero_573_skill_1_1,skilldes_hero_573_skill_1,
hero_574_skill_1,halo,1,0,0,20,"hero_574_skill_1_1,hero_574_skill_1_2",skilldes_hero_574_skill_1,
hero_574_skill_2,default,1,0,2,20,hero_574_skill_2_1,skilldes_hero_574_skill_2,
hero_574_skill_3,hitme,1,0,0,20,hero_574_skill_3_1,skilldes_hero_574_skill_3,
hero_574_skill_4,hp,1,0.7,3,20,hero_574_skill_4_1,skilldes_hero_574_skill_4,
hero_574_skill_5,hp,1,0.4,3,20,hero_574_skill_5_1,skilldes_hero_574_skill_5,
hero_575_skill_1,halo,1,0,0,20,hero_575_skill_1_1,skilldes_hero_575_skill_1,
hero_576_skill_1,halo,1,0,0,20,hero_576_skill_1_1,skilldes_hero_576_skill_1,
hero_577_skill_1,halo,1,0,0,20,"hero_577_skill_1_1,hero_577_skill_1_2",skilldes_hero_577_skill_1,
hero_577_skill_2,default,1,0,2,20,hero_577_skill_2_1,skilldes_hero_577_skill_2,
hero_577_skill_3,hitme,1,0,0,20,hero_577_skill_3_1,skilldes_hero_577_skill_3,
hero_577_skill_4,hp,1,0.7,3,20,hero_577_skill_4_1,skilldes_hero_577_skill_4,
hero_577_skill_5,hp,1,0.4,3,20,hero_577_skill_5_1,skilldes_hero_577_skill_5,
hero_578_skill_1,halo,1,0,0,20,hero_578_skill_1_1,skilldes_hero_578_skill_1,
hero_579_skill_1,halo,1,0,0,20,hero_579_skill_1_1,skilldes_hero_579_skill_1,
hero_580_skill_1,halo,1,0,0,20,"hero_580_skill_1_1,hero_580_skill_1_2",skilldes_hero_580_skill_1,
hero_580_skill_2,default,1,0,2,20,hero_580_skill_2_1,skilldes_hero_580_skill_2,
hero_580_skill_3,default,1,0,2,20,hero_580_skill_3_1,skilldes_hero_580_skill_3,
hero_580_skill_4,hp,1,0.7,3,20,hero_580_skill_4_1,skilldes_hero_580_skill_4,
hero_580_skill_5,hp,1,0.5,3,20,hero_580_skill_5_1,skilldes_hero_580_skill_5,
hero_580_skill_6,hp,1,0.3,2,20,hero_580_skill_6_1,skilldes_hero_580_skill_6,
hero_581_skill_1,halo,1,0,0,20,hero_581_skill_1_1,skilldes_hero_581_skill_1,
hero_582_skill_1,halo,1,0,0,20,hero_582_skill_1_1,skilldes_hero_582_skill_1,
