hero,animation,function,time
hero_607,attack,ActionPlay,0.3
hero_607,skill,AudioPlay,0.4
hero_607,skill,ActionPlay,0.5
hero_607,victor,ActionPlay,0.2
hero_607,failed,ActionPlay,0.2
hero_607,failed,ActionEnd,0.2
hero_608,attack,ActionEnd,1.3
hero_608,attack,AudioPlay,0.4
hero_608,attack,ActionPlay,0.3
hero_608,skill,AudioPlay,0.4
hero_608,skill,ActionPlay,0.5
hero_608,victor,ActionPlay,0.2
hero_608,failed,ActionPlay,0.2
hero_608,failed,ActionEnd,0.2
hero_609,attack,ActionEnd,1.3
hero_609,attack,AudioPlay,0.4
hero_609,attack,ActionPlay,0.3
hero_609,skill,AudioPlay,0.4
hero_609,skill,ActionPlay,0.5
hero_609,victor,ActionPlay,0.2
hero_609,failed,ActionPlay,0.2
hero_609,failed,ActionEnd,0.2
hero_610,attack,ActionEnd,1.3
hero_610,attack,AudioPlay,0.4
hero_610,attack,ActionPlay,0.3
hero_610,skill,AudioPlay,0.4
hero_610,skill,ActionPlay,0.5
hero_610,victor,ActionPlay,0.2
hero_610,failed,ActionPlay,0.2
hero_610,failed,ActionEnd,0.2
hero_611,attack,ActionEnd,1.3
hero_611,attack,AudioPlay,0.4
hero_611,attack,ActionPlay,0.3
hero_611,skill,AudioPlay,0.4
hero_611,skill,ActionPlay,0.5
hero_611,victor,ActionPlay,0.2
hero_611,failed,ActionPlay,0.2
hero_611,failed,ActionEnd,0.2
hero_612,attack,ActionEnd,1.3
hero_612,attack,AudioPlay,0.4
hero_612,attack,ActionPlay,0.3
hero_612,skill,AudioPlay,0.4
hero_612,skill,ActionPlay,0.5
hero_612,victor,ActionPlay,0.2
hero_612,failed,ActionPlay,0.2
hero_612,failed,ActionEnd,0.2
hero_613,attack,ActionEnd,1.3
hero_613,attack,AudioPlay,0.4
hero_613,attack,ActionPlay,0.3
hero_613,skill,AudioPlay,0.4
