id,type,x,y,level,state
"7,8,30,96",1,30,96,4,"0,7,0,7"
"0,0,36,300",0,36,300,6,"0,8,7,7"
"8,8,18,378",1,18,378,4,"0,8,0,8"
"0,0,35,800",0,35,800,6,"0,1,8,8"
"8,6,37,787",1,37,787,4,"0,8,0,8"
"7,8,86,49",1,86,49,4,"0,7,0,7"
"7,8,53,83",1,53,83,4,"0,7,0,7"
"7,8,65,59",1,65,59,4,"0,7,0,7"
"7,8,92,70",1,92,70,4,"0,7,0,7"
"8,8,96,349",1,96,349,4,"0,8,0,8"
"8,8,53,358",1,53,358,4,"0,8,0,8"
"8,6,73,727",1,73,727,4,"0,8,0,8"
"8,6,51,761",1,51,761,4,"8,0,8,0"
"0,0,100,775",0,100,775,6,"1,1,8,0"
"1,8,87,916",1,87,916,4,"1,0,1,0"
"7,8,124,67",1,124,67,4,"0,7,0,7"
"0,0,139,300",0,139,300,6,"0,8,7,7"
"8,1,130,336",1,130,336,4,"0,8,0,8"
"8,5,142,643",1,142,643,4,"8,0,8,0"
"8,5,103,695",1,103,695,4,"8,0,8,0"
"8,5,120,670",1,120,670,4,"8,0,8,0"
"1,7,136,885",1,136,885,4,"0,1,0,1"
"7,8,159,66",1,159,66,4,"0,7,0,7"
"7,8,190,68",1,190,68,4,"0,7,0,7"
"8,1,157,319",1,157,319,4,"0,8,0,8"
"8,1,188,316",1,188,316,4,"0,8,0,8"
"8,2,194,492",1,194,492,4,"8,0,8,0"
"8,4,187,521",1,187,521,4,"8,0,8,0"
"8,4,161,564",1,161,564,4,"0,8,0,8"
"8,4,175,582",1,175,582,4,"0,8,0,8"
"8,4,191,553",1,191,553,4,"0,8,0,8"
"8,5,161,614",1,161,614,4,"8,0,8,0"
"0,0,200,648",0,200,648,6,"1,8,8,8"
"0,0,154,700",0,154,700,6,"0,1,8,8"
"1,7,176,866",1,176,866,4,"0,1,0,1"
"0,0,201,35",0,201,35,6,"6,6,7,0"
"0,0,243,100",0,243,100,6,"0,7,6,6"
"7,3,212,295",1,212,295,4,"0,7,0,7"
"7,3,243,286",1,243,286,4,"0,7,0,7"
"0,0,201,348",0,201,348,6,"7,7,8,0"
"0,0,201,552",0,201,552,8,"9,9,8,0"
"0,0,249,600",0,249,600,8,"0,1,9,9"
"1,2,213,829",1,213,829,4,"0,1,0,1"
"7,3,283,243",1,283,243,4,"7,0,7,0"
"7,3,286,215",1,286,215,4,"7,0,7,0"
"7,3,270,273",1,270,273,4,"0,7,0,7"
"0,0,255,400",0,255,400,6,"0,8,7,7"
"0,0,300,861",0,300,861,6,"2,0,1,0"
"0,0,300,969",0,300,969,6,"2,0,1,0"
"0,0,301,148",0,301,148,6,"6,6,7,0"
