id,type,townhall_level,name,level,amount,force,produce,times,vitality,locale_desc
51,resource_produce,4,steel,,,,400,,5,task_daily_51_desc
52,resource_produce,4,steel,,,,800,,10,task_daily_52_desc
53,resource_produce,4,steel,,,,1200,,15,task_daily_53_desc
54,force,4,,,,140,,,5,task_daily_54_desc
55,force,4,,,,170,,,10,task_daily_55_desc
56,force,4,,,,190,,,15,task_daily_56_desc
57,get_tribute_times,4,,,,,,1,5,task_daily_57_desc
58,get_tribute_times,4,,,,,,2,10,task_daily_58_desc
59,get_tribute_times,4,,,,,,4,15,task_daily_59_desc
60,gold_totalamount,4,,,500,,,,5,task_daily_60_desc
61,gold_totalamount,4,,,1000,,,,10,task_daily_61_desc
62,gold_totalamount,4,,,1700,,,,15,task_daily_62_desc
63,resource_revoke,4,,,1,,,,5,task_daily_63_desc
64,resource_revoke,4,,,2,,,,10,task_daily_64_desc
65,resource_revoke,4,,,4,,,,15,task_daily_65_desc
66,attack_npccity,4,,,,,,1,5,task_daily_66_desc
67,attack_npccity,4,,,,,,2,10,task_daily_67_desc
68,attack_npccity,4,,,,,,3,15,task_daily_68_desc
69,occupied_resource_times,5,,4,,,,2,5,task_daily_69_desc
70,occupied_resource_times,5,,5,,,,1,10,task_daily_70_desc
71,occupied_resource_times,5,,5,,,,2,15,task_daily_71_desc
72,occupied_resource_times,5,,5,,,,3,15,task_daily_72_desc
73,battle_win,5,,,,,,3,5,task_daily_73_desc
74,battle_win,5,,,,,,5,10,task_daily_74_desc
75,battle_win,5,,,,,,8,15,task_daily_75_desc
76,recruit,5,,,,,,6,5,task_daily_76_desc
77,recruit,5,,,,,,7,10,task_daily_77_desc
78,recruit_amount,5,,,38400,,,,5,task_daily_78_desc
79,hero_levelup_times,5,,,,,,5,5,task_daily_79_desc
80,hero_levelup_times,5,,,,,,6,10,task_daily_80_desc
81,hero_levelup_times,5,,,,,,8,15,task_daily_81_desc
82,pvp_times,5,,,,,,1,5,task_daily_82_desc
83,pvp_times,5,,,,,,2,10,task_daily_83_desc
84,pvp_times,5,,,,,,3,15,task_daily_84_desc
85,building_levelup_times,5,,,,,,1,5,task_daily_85_desc
86,building_levelup_times,5,,,,,,3,10,task_daily_86_desc
87,building_levelup_times,5,,,,,,4,15,task_daily_87_desc
88,resource_produce,5,lumber,,,,400,,5,task_daily_88_desc
89,resource_produce,5,lumber,,,,800,,10,task_daily_89_desc
90,resource_produce,5,lumber,,,,1200,,15,task_daily_90_desc
91,force,5,,,,220,,,5,task_daily_91_desc
92,force,5,,,,260,,,10,task_daily_92_desc
93,force,5,,,,310,,,15,task_daily_93_desc
94,get_tribute_times,5,,,,,,1,5,task_daily_94_desc
95,get_tribute_times,5,,,,,,2,10,task_daily_95_desc
96,get_tribute_times,5,,,,,,4,15,task_daily_96_desc
97,gold_totalamount,5,,,700,,,,5,task_daily_97_desc
98,gold_totalamount,5,,,1400,,,,10,task_daily_98_desc
99,gold_totalamount,5,,,2300,,,,15,task_daily_99_desc
100,resource_revoke,5,,,1,,,,5,task_daily_100_desc
