hero,animation,function,time
hero_563,skill,ActionPlay,0.5
hero_563,victor,ActionPlay,0.2
hero_563,failed,ActionPlay,0.2
hero_563,failed,ActionEnd,0.2
hero_564,attack,ActionEnd,1.3
hero_564,attack,AudioPlay,0.4
hero_564,attack,ActionPlay,0.3
hero_564,skill,AudioPlay,0.4
hero_564,skill,ActionPlay,0.5
hero_564,victor,ActionPlay,0.2
hero_564,failed,ActionPlay,0.2
hero_564,failed,ActionEnd,0.2
hero_565,attack,ActionEnd,1.3
hero_565,attack,AudioPlay,0.4
hero_565,attack,ActionPlay,0.3
hero_565,skill,AudioPlay,0.4
hero_565,skill,ActionPlay,0.5
hero_565,victor,ActionPlay,0.2
hero_565,failed,ActionPlay,0.2
hero_565,failed,ActionEnd,0.2
hero_566,attack,ActionEnd,1.3
hero_566,attack,AudioPlay,0.4
hero_566,attack,ActionPlay,0.3
hero_566,skill,AudioPlay,0.4
hero_566,skill,ActionPlay,0.5
hero_566,victor,ActionPlay,0.2
hero_566,failed,ActionPlay,0.2
hero_566,failed,ActionEnd,0.2
hero_567,attack,ActionEnd,1.3
hero_567,attack,AudioPlay,0.4
hero_567,attack,ActionPlay,0.3
hero_567,skill,AudioPlay,0.4
hero_567,skill,ActionPlay,0.5
hero_567,victor,ActionPlay,0.2
hero_567,failed,ActionPlay,0.2
hero_567,failed,ActionEnd,0.2
hero_568,attack,ActionEnd,1.3
hero_568,attack,AudioPlay,0.4
hero_568,attack,ActionPlay,0.3
hero_568,skill,AudioPlay,0.4
hero_568,skill,ActionPlay,0.5
hero_568,victor,ActionPlay,0.2
hero_568,failed,ActionPlay,0.2
hero_568,failed,ActionEnd,0.2
hero_569,attack,ActionEnd,1.3
hero_569,attack,AudioPlay,0.4
hero_569,attack,ActionPlay,0.3
hero_569,skill,AudioPlay,0.4
hero_569,skill,ActionPlay,0.5
hero_569,victor,ActionPlay,0.2
