hero,animation,function,time
hero_601,attack,ActionEnd,1.3
hero_601,attack,AudioPlay,0.4
hero_601,attack,ActionPlay,0.3
hero_601,skill,AudioPlay,0.4
hero_601,skill,ActionPlay,0.5
hero_601,victor,ActionPlay,0.2
hero_601,failed,ActionPlay,0.2
hero_601,failed,ActionEnd,0.2
hero_602,attack,ActionEnd,1.3
hero_602,attack,AudioPlay,0.4
hero_602,attack,ActionPlay,0.3
hero_602,skill,AudioPlay,0.4
hero_602,skill,ActionPlay,0.5
hero_602,victor,ActionPlay,0.2
hero_602,failed,ActionPlay,0.2
hero_602,failed,ActionEnd,0.2
hero_603,attack,ActionEnd,1.3
hero_603,attack,AudioPlay,0.4
hero_603,attack,ActionPlay,0.3
hero_603,skill,AudioPlay,0.4
hero_603,skill,ActionPlay,0.5
hero_603,victor,ActionPlay,0.2
hero_603,failed,ActionPlay,0.2
hero_603,failed,ActionEnd,0.2
hero_604,attack,ActionEnd,1.3
hero_604,attack,AudioPlay,0.4
hero_604,attack,ActionPlay,0.3
hero_604,skill,AudioPlay,0.4
hero_604,skill,ActionPlay,0.5
hero_604,victor,ActionPlay,0.2
hero_604,failed,ActionPlay,0.2
hero_604,failed,ActionEnd,0.2
hero_605,attack,ActionEnd,1
hero_605,attack,AudioPlay,0.33
hero_605,attack,ActionPlay,0.3
hero_605,skill,AudioPlay,0.44
hero_605,skill,ActionPlay,0.67
hero_605,victor,ActionPlay,0.2
hero_605,failed,ActionPlay,0.2
hero_605,failed,ActionEnd,0.2
hero_606,attack,ActionEnd,1.3
hero_606,attack,AudioPlay,0.4
hero_606,attack,ActionPlay,0.3
hero_606,skill,AudioPlay,0.4
hero_606,skill,ActionPlay,0.5
hero_606,victor,ActionPlay,0.2
hero_606,failed,ActionPlay,0.2
hero_606,failed,ActionEnd,0.2
hero_607,attack,ActionEnd,1.3
hero_607,attack,AudioPlay,0.4
