id,level,type,name,race,tribute_gold_buff,tribute_gold_buff_bonus,alliance_tribute_gold_buff,gold,lumber,marble,steel,food,lumber_buff,marble_buff,steel_buff,food_buff,stronghold_time_buff,durability,force,alliance_exp,size,rank_points,limit_time,limit_gem
"1,8,200,1",7,zone_capital,din_buldihr_center,dwarf,0,2,48,0,282000,282000,282000,282000,0,9000,0,0,0.3,315000,0,720300,m,6860,1303812,75
"1,8,200,0",7,zone_capital,din_buldihr_outside,dwarf,40,0,0,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"1,8,201,1",5,normal,mudrun_center,raider,0,2,30,0,144000,144000,144000,144000,0,1080,2520,0,0,78000,0,187500,s,1250,551808,60
"1,8,201,0",5,normal,mudrun_outside,raider,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"1,8,202,1",4,normal,autumnborn_center,raider,0,2,24,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"1,8,202,0",4,normal,autumnborn_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"1,8,203,1",6,normal,morrhia_center,dwarf,0,2,36,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"1,8,203,0",6,normal,morrhia_outside,dwarf,30,0,0,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"1,8,204,1",4,normal,blindfort_center,raider,0,2,24,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"1,8,204,0",4,normal,blindfort_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"1,7,200,1",7,zone_capital,nughdun_center,dwarf,0,2,48,0,282000,282000,282000,282000,0,6750,0,2250,0.3,315000,0,720300,m,6860,1303812,75
"1,7,200,0",7,zone_capital,nughdun_outside,dwarf,40,0,0,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"1,7,201,1",4,normal,oldtide_center,raider,0,2,24,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"1,7,201,0",4,normal,oldtide_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"1,7,202,1",5,normal,farbell_center,raider,0,2,30,0,144000,144000,144000,144000,0,0,2700,900,0,78000,0,187500,s,1250,551808,60
"1,7,202,0",5,normal,farbell_outside,raider,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"1,7,203,1",4,normal,heghgrim_center,dwarf,0,2,24,0,72000,72000,72000,72000,0,0,0,2880,0,19000,0,76800,s,640,361548,53
"1,7,203,0",4,normal,heghgrim_outside,dwarf,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"1,7,204,1",6,normal,basinbay_center,raider,0,2,36,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"1,7,204,0",6,normal,basinbay_outside,raider,30,0,0,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"1,1,200,1",7,zone_capital,nanyar_center,dwarf,0,2,48,0,282000,282000,282000,282000,1800,7200,0,0,0.3,315000,0,720300,m,6860,1303812,75
"1,1,200,0",7,zone_capital,nanyar_outside,dwarf,40,0,0,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"1,1,201,1",4,normal,angelshell_center,raider,0,2,24,0,72000,72000,72000,72000,2310,0,0,580,0,19000,0,76800,s,640,361548,53
"1,1,201,0",4,normal,angelshell_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"1,1,202,1",6,normal,sunpost_center,raider,0,2,36,0,216000,216000,216000,216000,0,2160,0,2160,0,135000,0,388800,s,2160,825588,68
"1,1,202,0",6,normal,sunpost_outside,raider,30,0,0,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"1,2,200,1",8,zone_capital,norwohr_center,dwarf,0,2.5,60,0,372000,372000,372000,372000,4860,4860,0,0,0.3,381000,0,1228800,m,10240,2336868,83
"1,2,200,0",8,zone_capital,norwohr_outside,dwarf,50,0,0,150,62000,62000,62000,62000,0,0,0,0,0.3,5438,1280,122880,,0,0,0
"1,2,201,1",4,normal,bayvale_center,raider,0,2,24,0,72000,72000,72000,72000,0,2020,0,870,0,19000,0,76800,s,640,361548,53
"1,2,201,0",4,normal,bayvale_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"1,2,202,1",5,normal,lostpeak_center,raider,0,2,30,0,144000,144000,144000,144000,0,0,2520,1080,0,78000,0,187500,s,1250,551808,60
"1,2,202,0",5,normal,lostpeak_outside,raider,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"1,3,200,1",10,region_capital,milgrun_center,dwarf,0,2.5,84,0,576000,576000,576000,576000,11880,0,0,0,0.3,864000,0,3000000,l,50000,4144788,98
"1,3,200,0",10,region_capital,milgrun_outside,dwarf,70,0,0,280,96000,96000,96000,96000,0,0,0,0,0.3,9600,5120,300000,,0,0,0
"1,3,201,1",6,normal,drycross_center,raider,0,2,36,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"1,3,201,0",6,normal,drycross_outside,raider,30,0,0,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"1,3,202,1",5,normal,blackville_center,raider,0,2,30,0,144000,144000,144000,144000,0,1080,2520,0,0,78000,0,187500,s,1250,551808,60
"1,3,202,0",5,normal,blackville_outside,raider,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"1,4,200,1",8,zone_capital,kulrigh_center,dwarf,0,2.5,60,0,372000,372000,372000,372000,0,2920,6810,0,0.3,381000,0,1228800,m,10240,2336868,83
"1,4,200,0",8,zone_capital,kulrigh_outside,dwarf,50,0,0,150,62000,62000,62000,62000,0,0,0,0,0.3,5438,1280,122880,,0,0,0
"1,4,201,1",5,normal,rosemore_center,raider,0,2,30,0,144000,144000,144000,144000,720,0,2880,0,0,78000,0,187500,s,1250,551808,60
"1,4,201,0",5,normal,rosemore_outside,raider,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"1,4,202,1",4,normal,lostshire_center,raider,0,2,24,0,72000,72000,72000,72000,0,2880,0,0,0,19000,0,76800,s,640,361548,53
"1,4,202,0",4,normal,lostshire_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"1,5,200,1",8,zone_capital,marnlodar_center,dwarf,0,2.5,60,0,372000,372000,372000,372000,0,0,9720,0,0.3,381000,0,1228800,m,10240,2336868,83
"1,5,200,0",8,zone_capital,marnlodar_outside,dwarf,50,0,0,150,62000,62000,62000,62000,0,0,0,0,0.3,5438,1280,122880,,0,0,0
"1,5,201,1",5,normal,edgebell_center,raider,0,2,30,0,144000,144000,144000,144000,0,720,2880,0,0,78000,0,187500,s,1250,551808,60
"1,5,201,0",5,normal,edgebell_outside,raider,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"1,5,202,1",4,normal,ironwind_center,raider,0,2,24,0,72000,72000,72000,72000,0,2310,0,580,0,19000,0,76800,s,640,361548,53
"1,5,202,0",4,normal,ironwind_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
