hero,animation,function,time
hero_619,failed,ActionPlay,0.2
hero_619,failed,ActionEnd,0.2
hero_620,attack,ActionEnd,1.3
hero_620,attack,AudioPlay,0.4
hero_620,attack,ActionPlay,0.3
hero_620,skill,AudioPlay,0.4
hero_620,skill,ActionPlay,0.5
hero_620,victor,ActionPlay,0.2
hero_620,failed,ActionPlay,0.2
hero_620,failed,ActionEnd,0.2
hero_621,attack,ActionEnd,1.3
hero_621,attack,AudioPlay,0.4
hero_621,attack,ActionPlay,0.3
hero_621,skill,AudioPlay,0.4
hero_621,skill,ActionPlay,0.5
hero_621,victor,ActionPlay,0.2
hero_621,failed,ActionPlay,0.2
hero_621,failed,ActionEnd,0.2
hero_622,attack,ActionEnd,1.3
hero_622,attack,AudioPlay,0.4
hero_622,attack,ActionPlay,0.3
hero_622,skill,AudioPlay,0.4
hero_622,skill,ActionPlay,0.5
hero_622,victor,ActionPlay,0.2
hero_622,failed,ActionPlay,0.2
hero_622,failed,ActionEnd,0.2
hero_623,attack,ActionEnd,1.3
hero_623,attack,AudioPlay,0.4
hero_623,attack,ActionPlay,0.3
hero_623,skill,AudioPlay,0.4
hero_623,skill,ActionPlay,0.5
hero_623,victor,ActionPlay,0.2
hero_623,failed,ActionPlay,0.2
hero_623,failed,ActionEnd,0.2
hero_624,attack,ActionEnd,1.3
hero_624,attack,AudioPlay,0.4
hero_624,attack,ActionPlay,0.3
hero_624,skill,AudioPlay,0.4
hero_624,skill,ActionPlay,0.5
hero_624,victor,ActionPlay,0.2
hero_624,failed,ActionPlay,0.2
hero_624,failed,ActionEnd,0.2
hero_625,attack,ActionEnd,1.3
hero_625,attack,AudioPlay,0.4
hero_625,attack,ActionPlay,0.3
hero_625,skill,AudioPlay,0.4
hero_625,skill,ActionPlay,0.5
hero_625,victor,ActionPlay,0.2
hero_625,failed,ActionPlay,0.2
hero_625,failed,ActionEnd,0.2
