default_skill,{0},{1},{2},{3},{4},{5},{6},{7}
default_hero_562_skill_1,100,0,0,0,0,0,0,0
default_hero_562_skill_2,100,0,342,100,15,0,0,0
default_hero_562_skill_3,100,0,1094,0,48,0,0,0
default_hero_562_skill_4,100,70,2052,2,90,0,0,0
default_hero_562_skill_5,100,40,684,2,30,0,0,0
default_hero_563_skill_1,100,0,0,0,0,0,0,0
default_hero_564_skill_1,100,0,0,0,0,0,0,0
default_hero_565_skill_1,100,0,0,0,0,0,0,0
default_hero_565_skill_2,100,0,325,100,12,0,0,0
default_hero_565_skill_3,100,0,1056,0,39,0,0,0
default_hero_565_skill_4,100,70,2030,2,75,0,0,0
default_hero_565_skill_5,100,40,650,2,24,0,0,0
default_hero_566_skill_1,100,0,0,0,0,0,0,0
default_hero_567_skill_1,100,0,0,0,0,0,0,0
default_hero_568_skill_1,100,0,0,0,0,0,0,0
default_hero_568_skill_2,100,0,339,100,9.9,0,0,0
default_hero_568_skill_3,100,0,1128,0,33,0,0,0
default_hero_568_skill_4,100,70,1949,2,57,0,0,0
default_hero_568_skill_5,100,40,4102,2,120,0,0,0
default_hero_569_skill_1,100,0,0,0,0,0,0,0
default_hero_570_skill_1,100,0,0,0,0,0,0,0
default_hero_571_skill_1,100,0,0,0,0,0,0,0
default_hero_571_skill_2,100,0,342,100,15,0,0,0
default_hero_571_skill_3,100,0,1881,0,82.5,0,0,0
default_hero_571_skill_4,100,70,0,2,0,0,0,0
default_hero_571_skill_5,100,40,342,2,15,0,0,0
default_hero_572_skill_1,100,0,0,0,0,0,0,0
default_hero_573_skill_1,100,0,0,0,0,0,0,0
default_hero_574_skill_1,100,0,0,0,0,0,0,0
default_hero_574_skill_2,100,0,325,100,12,0,0,0
default_hero_574_skill_3,100,0,1949,0,72,0,0,0
default_hero_574_skill_4,100,70,0,2,0,0,0,0
default_hero_574_skill_5,100,40,325,2,12,0,0,0
default_hero_575_skill_1,100,0,0,0,0,0,0,0
default_hero_576_skill_1,100,0,0,0,0,0,0,0
default_hero_577_skill_1,100,0,0,0,0,0,0,0
default_hero_577_skill_2,100,0,308,100,9,0,0,0
default_hero_577_skill_3,100,0,1949,0,57,0,0,0
default_hero_577_skill_4,100,70,0,2,0,0,0,0
default_hero_577_skill_5,100,40,308,2,9,0,0,0
default_hero_578_skill_1,100,0,0,0,0,0,0,0
default_hero_579_skill_1,100,0,0,0,0,0,0,0
default_hero_580_skill_1,100,0,0,0,0,0,0,0
default_hero_580_skill_2,100,0,342,100,15,0,0,0
default_hero_580_skill_3,100,0,0,1,0,0,0,0
default_hero_580_skill_4,100,70,684,3,60,0,0,0
default_hero_580_skill_5,100,50,2052,0,90,0,0,0
default_hero_580_skill_6,100,30,3248,0,142.5,0,0,0
default_hero_581_skill_1,100,0,0,0,0,0,0,0
default_hero_582_skill_1,100,0,0,0,0,0,0,0
