index,name,type
按键音,act_button,frequently_short
2展开音,act_expand,frequently_short
点击地块音,act_click_tile,frequently_short
4界面关闭音,act_ui_hide,frequently_short
5点击建筑音,act_click_building,frequently_short
6建筑修建音,show_build,rarely_medium
7点击城市音,act_click_city,rarely_medium
8点击龙堡,act_click_dragon,rarely_medium
9领取奖励,act_get_reward,rarely_medium
资源数字跳动_金币,show_collect_gold,frequently_short
资源数字跳动_木材,show_collect_lumber,frequently_short
资源数字跳动_石头,show_collect_marble,frequently_short
资源数字跳动_铁,show_collect_steel,frequently_short
资源数字跳动_食物,show_collect_food,frequently_short
15普通卡,show_lottery_rarity_1,rarely_short
16优秀卡,show_lottery_rarity_2,rarely_short
17史诗卡,show_lottery_rarity_4,rarely_short
18卡牌数字跳动,show_hero_amount_change,rarely_medium
信息提示1,show_tip_normal,frequently_short
19信息提示2,show_tip_warning,frequently_short
战斗开始,show_battle_start,frequently_medium
战斗胜利,show_battle_win,frequently_medium
战斗失败,show_battle_lose,frequently_medium
23青年男攻击,yong_man_attack,frequently_short
24青年女攻击1,yong_women_attack,frequently_short
24青年女攻击2,yong_women2_attack,frequently_short
25幼年女攻击,little_boy_attack,frequently_short
26老年男攻击,old_man_attack,frequently_short
27壮男攻击,strong_man_attack,frequently_short
28恶魔攻击1,demon_1_attack,frequently_short
28恶魔攻击2,demon_2_attack,frequently_short
29龙攻击,dragon_attack,frequently_short
30击中-穿刺音效,puncture_hit,frequently_short
31击中-劈砍音效,chopped_hit,frequently_short
32击中-锤击音效,hammering_hit,frequently_short
击中-龙甩头攻击音效,dragon_hit,frequently_short
击中-木武器攻击音效,wood_hit,frequently_short
击中-拳脚音效,fist_hit,frequently_short
电击技能吟唱,thunder_cast,frequently_short
电击技能击中,thunder_hit,frequently_short
33攻击技能吟唱,normal_skill_cast,frequently_short
34攻击技能击中,normal_skill_hit,frequently_short
35治疗技能吟唱,heal_skill_cast,frequently_short
36治疗技能击中,heal_skill_hit,frequently_short
44宝箱初次打开,show_chest_single,frequently_short
45宝箱多次打开单次,show_chest_plural,frequently_short
46宝箱跳出落地,show_chest_start,frequently_short
龙吼_示威,dragon_roar,rarely_medium
龙吼_受伤,dragon_injure,rarely_medium
龙_扇动翅膀飞翔,dragon_fly,rarely_short
