id,type,townhall_level,name,level,amount,force,produce,times,vitality,locale_desc
201,hero_levelup_times,8,,,,,,7,15,task_daily_201_desc
202,pvp_times,8,,,,,,1,5,task_daily_202_desc
203,pvp_times,8,,,,,,2,10,task_daily_203_desc
204,pvp_times,8,,,,,,3,15,task_daily_204_desc
205,building_levelup_times,8,,,,,,1,5,task_daily_205_desc
206,building_levelup_times,8,,,,,,2,10,task_daily_206_desc
207,building_levelup_times,8,,,,,,3,15,task_daily_207_desc
208,resource_produce,8,steel,,,,400,,5,task_daily_208_desc
209,resource_produce,8,steel,,,,800,,10,task_daily_209_desc
210,resource_produce,8,steel,,,,1200,,15,task_daily_210_desc
211,force,8,,,,330,,,5,task_daily_211_desc
212,force,8,,,,390,,,10,task_daily_212_desc
213,force,8,,,,460,,,15,task_daily_213_desc
214,get_tribute_times,8,,,,,,1,5,task_daily_214_desc
215,get_tribute_times,8,,,,,,2,10,task_daily_215_desc
216,get_tribute_times,8,,,,,,4,15,task_daily_216_desc
217,gold_totalamount,8,,,1300,,,,5,task_daily_217_desc
218,gold_totalamount,8,,,2600,,,,10,task_daily_218_desc
219,gold_totalamount,8,,,4300,,,,15,task_daily_219_desc
220,resource_revoke,8,,,1,,,,5,task_daily_220_desc
221,resource_revoke,8,,,2,,,,10,task_daily_221_desc
222,resource_revoke,8,,,4,,,,15,task_daily_222_desc
223,attack_npccity,8,,,,,,1,5,task_daily_223_desc
224,attack_npccity,8,,,,,,2,10,task_daily_224_desc
225,attack_npccity,8,,,,,,3,15,task_daily_225_desc
226,attack_pass,8,,,,,,1,5,task_daily_226_desc
227,attack_pass,8,,,,,,2,10,task_daily_227_desc
228,attack_pass,8,,,,,,3,15,task_daily_228_desc
229,occupied_resource_times,9,,8,,,,1,5,task_daily_229_desc
230,occupied_resource_times,9,,8,,,,2,10,task_daily_230_desc
231,occupied_resource_times,9,,9,,,,1,10,task_daily_231_desc
232,occupied_resource_times,9,,9,,,,2,15,task_daily_232_desc
233,occupied_resource_times,9,,9,,,,3,15,task_daily_233_desc
234,battle_win,9,,,,,,3,5,task_daily_234_desc
235,battle_win,9,,,,,,5,10,task_daily_235_desc
236,battle_win,9,,,,,,8,15,task_daily_236_desc
237,recruit,9,,,,,,14,5,task_daily_237_desc
238,recruit,9,,,,,,15,10,task_daily_238_desc
239,recruit_amount,9,,,720000,,,,5,task_daily_239_desc
240,hero_levelup_times,9,,,,,,4,5,task_daily_240_desc
241,hero_levelup_times,9,,,,,,5,10,task_daily_241_desc
242,hero_levelup_times,9,,,,,,7,15,task_daily_242_desc
243,pvp_times,9,,,,,,1,5,task_daily_243_desc
244,pvp_times,9,,,,,,2,10,task_daily_244_desc
245,pvp_times,9,,,,,,3,15,task_daily_245_desc
246,building_levelup_times,9,,,,,,1,5,task_daily_246_desc
247,building_levelup_times,9,,,,,,2,10,task_daily_247_desc
248,building_levelup_times,9,,,,,,3,15,task_daily_248_desc
249,resource_produce,9,marble,,,,400,,5,task_daily_249_desc
250,resource_produce,9,marble,,,,800,,10,task_daily_250_desc
