id,x,y
"4,2,202,1",826,543
"4,1,202,1",834,627
"4,1,201,1",829,681
"3,2,202,1",830,753
"3,7,204,1",835,835
"3,8,204,1",825,967
"5,7,202,1",858,64
"5,7,200,1",867,100
"5,6,201,1",883,231
"4,5,200,1",877,358
"4,4,200,1",875,449
"4,2,200,1",879,548
"4,2,201,1",856,582
"4,1,200,1",879,644
"3,2,201,1",865,720
"3,2,200,1",869,778
"3,7,203,1",864,858
"3,7,200,1",900,875
"3,8,203,1",857,929
"3,8,200,1",900,954
"5,8,201,1",932,37
"5,8,203,1",931,137
"4,6,201,1",927,249
"4,7,204,1",927,328
"4,7,200,1",946,399
"4,7,201,1",927,456
"4,8,204,1",929,542
"4,8,202,1",928,643
"3,1,202,1",928,737
"3,1,200,1",948,773
"3,7,202,1",934,857
"3,8,202,1",941,977
"5,8,202,1",977,61
"5,8,200,1",955,103
"5,8,204,1",964,176
"4,6,202,1",970,223
"4,6,200,1",970,275
"4,7,203,1",966,351
"4,7,202,1",971,437
"4,8,203,1",975,542
"4,8,200,1",954,603
"4,8,201,1",973,678
"3,1,201,1",975,725
"3,7,201,1",966,839
"3,8,201,1",959,936
