skill_id,audio_skill_cast,audio_skill_hit,audio_skill_move
hero_405_attack_1,hero_405_attack_cast,hero_405_attack_hit,hero_common2_move
hero_008_attack_1,hero_008_attack_cast,hero_008_attack_hit,hero_common2_move
hero_109_attack_1,hero_109_attack_cast,hero_109_attack_hit,hero_common2_move
hero_106_attack_1,hero_106_attack_cast,hero_106_attack_hit,hero_common2_move
hero_108_attack_1,hero_108_attack_cast,hero_108_attack_hit,hero_common2_move
hero_107_attack_1,hero_107_attack_cast,hero_107_attack_hit,hero_107_move
hero_211_attack_1,hero_211_attack_cast,hero_211_attack_hit,hero_common2_move
hero_111_attack_1,hero_111_attack_cast,hero_111_attack_hit,hero_common2_move
hero_110_attack_1,hero_110_attack_cast,hero_110_attack_hit,hero_common2_move
hero_105_attack_1,hero_105_attack_cast,hero_105_attack_hit,hero_105_move
hero_201_attack_1,hero_201_attack_cast,hero_201_attack_hit,hero_common2_move
hero_101_attack_1,hero_101_attack_cast,hero_101_attack_hit,hero_common2_move
hero_009_attack_1,hero_009_attack_cast,hero_009_attack_hit,hero_common2_move
hero_011_attack_1,hero_011_attack_cast,hero_011_attack_hit,hero_common2_move
hero_010_attack_1,hero_010_attack_cast,hero_010_attack_hit,hero_common2_move
hero_204_attack_1,hero_204_attack_cast,hero_204_attack_hit,hero_common2_move
hero_202_attack_1,hero_202_attack_cast,hero_202_attack_hit,hero_common2_move
hero_203_attack_1,hero_203_attack_cast,hero_203_attack_hit,hero_common2_move
hero_104_attack_1,hero_104_attack_cast,hero_104_attack_hit,hero_common2_move
hero_007_attack_1,hero_007_attack_cast,hero_007_attack_hit,hero_common2_move
hero_004_attack_1,hero_405_attack_cast,hero_405_attack_hit,hero_common2_move
hero_012_attack_1,hero_012_attack_cast,hero_012_attack_hit,hero_common2_move
hero_207_attack_1,hero_207_attack_cast,hero_207_attack_hit,hero_common2_move
hero_005_attack_1,hero_005_attack_cast,hero_005_attack_hit,hero_common2_move
hero_210_attack_1,hero_210_attack_cast,hero_210_attack_hit,hero_common2_move
hero_208_attack_1,hero_208_attack_cast,hero_208_attack_hit,hero_common2_move
hero_206_attack_1,hero_206_attack_cast,hero_206_attack_hit,hero_common2_move
hero_307_attack_1,hero_307_attack_cast,hero_307_attack_hit,hero_common2_move
hero_306_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_006_attack_1,hero_006_attack_cast,hero_006_attack_hit,hero_common2_move
hero_003_attack_1,hero_003_attack_cast,hero_003_attack_hit,hero_common2_move
hero_303_attack_1,hero_303_attack_cast,hero_303_attack_hit,hero_common2_move
hero_302_attack_1,hero_302_attack_cast,hero_302_attack_hit,hero_common2_move
hero_205_attack_1,hero_205_attack_cast,hero_205_attack_hit,hero_common2_move
hero_001_attack_1,hero_001_attack_cast,hero_001_attack_hit,hero_common2_move
hero_305_attack_1,hero_305_attack_cast,hero_305_attack_hit,hero_common2_move
hero_209_attack_1,hero_209_attack_cast,hero_209_attack_hit,hero_common2_move
hero_212_attack_1,hero_212_attack_cast,hero_212_attack_hit,hero_common2_move
hero_102_attack_1,hero_102_attack_cast,hero_102_attack_hit,hero_common2_move
hero_401_attack_1,hero_401_attack_cast,hero_401_attack_hit,hero_common2_move
hero_403_attack_1,hero_403_attack_cast,hero_403_attack_hit,hero_common2_move
hero_002_attack_1,hero_002_attack_cast,hero_002_attack_hit,hero_common2_move
hero_301_attack_1,hero_301_attack_cast,hero_301_attack_hit,hero_common2_move
hero_406_attack_1,hero_406_attack_cast,hero_406_attack_hit,hero_common2_move
hero_402_attack_1,hero_402_attack_cast,hero_402_attack_hit,hero_common2_move
hero_304_attack_1,hero_304_attack_cast,hero_304_attack_hit,hero_common2_move
hero_103_attack_1,hero_103_attack_cast,hero_103_attack_hit,hero_common2_move
hero_112_attack_1,hero_112_attack_cast,hero_112_attack_hit,hero_common2_move
hero_404_attack_1,hero_404_attack_cast,hero_404_attack_hit,hero_common2_move
hero_407_attack_1,hero_407_attack_cast,hero_407_attack_hit,hero_common2_move
